language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Chinese,13,16,3,0,3,1.2959810340890112e-27,0.8244824053395479,0.8244824053395479
Chinese,11,13,3,0,3,4.033596972812989e-19,0.7787875190733327,0.7787875190733327
Chinese,4,6,2,0,2,1.4892901392443996e-18,0.7377455905752068,0.7377455905752068
Chinese,13,17,5,0,4,5.0867888342102446e-17,0.7158103911035261,0.7158103911035261
Chinese,22,24,2,0,2,1.198451290985621e-16,0.7591036287537392,0.7591036287537392
Chinese,14,16,2,0,2,2.682451848566088e-16,0.5805944887247028,0.5805944887247028
Chinese,17,24,6,0,6,4.025875525627567e-15,0.7938612931647392,0.7938612931647392
Chinese,17,22,5,0,4,4.4333520275568794e-15,0.7236004442842545,0.7236004442842545
Chinese,16,17,1,0,1,1.5189755310166015e-14,0.693781708172874,0.693781708172874
Chinese,21,24,3,0,3,5.69885162802878e-13,0.7105386004315707,0.7105386004315707
Chinese,11,16,6,0,6,1.1210324685702649e-12,0.6439752400831705,0.6439752400831705
Chinese,4,7,4,0,3,1.3129899231157577e-12,0.6652132484438579,0.6652132484438579
Chinese,6,7,1,0,1,1.6259960283001011e-12,0.6414795942531146,0.6414795942531146
Chinese,12,13,3,0,1,1.7787665632593457e-12,0.6065225592264402,0.6065225592264402
Chinese,2,4,5,0,3,2.1692952698489962e-12,0.5070330677093843,0.5070330677093843
Chinese,14,17,3,0,3,2.553267555739495e-12,0.6010405893526594,0.6010405893526594
Chinese,9,10,6,0,3,2.735893039998971e-12,0.7520662481836253,0.7520662481836253
Chinese,13,14,2,0,1,3.640459443601113e-12,0.5652989596149093,0.5652989596149093
Chinese,10,11,3,0,2,6.46069996487166e-12,0.7007601973864606,0.7007601973864606
Chinese,13,15,3,0,3,7.175144679021853e-12,0.6118650121234943,0.6118650121234943
Chinese,11,12,4,0,2,9.44387950760226e-12,0.6266225507625585,0.6266225507625585
Chinese,23,3,4,1,2,3.8469490906407455e-11,0.726792314357897,0.726792314357897
Chinese,17,21,6,0,3,5.6348244919341424e-11,0.6795801290189694,0.6795801290189694
Chinese,11,17,7,0,7,1.6759781799739135e-10,0.6520324242171956,0.6520324242171956
Chinese,16,22,5,0,5,1.8755662563137818e-10,0.6216018234874683,0.6216018234874683
Chinese,21,22,2,0,1,1.918465974026874e-10,0.6674840772033986,0.6674840772033986
Chinese,9,11,5,0,5,8.135637541215032e-10,0.6711894565700427,0.6711894565700427
Chinese,6,8,2,1,2,2.796277835946539e-09,0.5877390206758298,0.5877390206758298
Chinese,16,21,4,0,4,3.6432162871435025e-09,0.6050543445808018,0.6050543445808018
Chinese,12,16,6,0,5,6.367853602140417e-09,0.5147365725086726,0.5147365725086726
Chinese,12,17,6,0,6,2.0158298486019644e-08,0.5433425382050059,0.5433425382050059
Chinese,13,21,7,0,7,2.3586624675938162e-08,0.5804244456371711,0.5804244456371711
Chinese,4,9,7,0,7,2.4153934212632383e-08,0.6214773317379615,0.6214773317379615
