language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
English,2,15,7,1,1,1.0029751681043638e-34,0.6054539018191791,0.6054539018191791
English,15,31,7,0,3,3.4511071969891e-33,0.7804724084963023,0.7804724084963023
English,15,9,7,1,4,1.4103839814463533e-32,0.8013318629992856,0.8013318629992856
English,31,9,7,1,1,1.2601502706831563e-26,0.8461751359035325,0.8461751359035325
English,2,31,7,1,1,2.5278863638416663e-26,0.8978910782614751,0.8978910782614751
English,25,31,7,2,2,3.181185528624224e-26,0.8981975921324148,0.8981975921324148
English,2,9,7,1,1,3.524762252871317e-23,0.8210475782855963,0.8210475782855963
English,19,9,6,1,2,4.4974582891582694e-23,0.8647778424327478,0.8647778424327478
English,26,9,6,1,1,7.000112435311065e-23,0.819545518118612,0.819545518118612
English,6,9,6,1,2,1.4185185480198974e-22,0.8380139120727799,0.8380139120727799
English,43,29,7,1,1,1.4611858910712916e-22,0.9222954358566589,0.9222954358566589
English,15,29,7,0,1,2.3332804502931577e-22,0.7664198771320992,0.7664198771320992
English,1,9,6,1,1,2.438949734540271e-22,0.8321931507348688,0.8321931507348688
English,26,29,7,0,1,3.547272002272161e-22,0.902978626618087,0.902978626618087
English,43,41,3,1,1,6.323867340762613e-22,0.9492956716689592,0.9492956716689592
English,32,9,7,2,2,1.2801136104387002e-21,0.8030554798319316,0.8030554798319316
English,18,9,6,1,1,3.1197249313520066e-21,0.831364757631843,0.831364757631843
English,13,31,7,1,1,3.343096632801698e-21,0.8643178382795329,0.8643178382795329
English,15,47,7,1,1,3.83984173495875e-21,0.8578316668441724,0.8578316668441724
English,7,29,6,1,1,1.8550417052979622e-20,0.9263555152058205,0.9263555152058205
English,43,31,7,1,1,2.0230348546153804e-20,0.9028661182334508,0.9028661182334508
English,32,31,7,2,2,3.1896665354240994e-20,0.882962297024322,0.882962297024322
English,3,9,7,1,1,5.911353867163378e-20,0.8141043503842927,0.8141043503842927
English,3,15,7,1,1,6.96691246282068e-20,0.5917984413177148,0.5917984413177148
English,2,13,6,1,1,1.0343538117735328e-19,0.888818025568311,0.888818025568311
English,14,9,6,1,2,1.1536595624611776e-19,0.8323337735984199,0.8323337735984199
English,10,9,6,1,1,1.50436876899511e-19,0.8569511326064735,0.8569511326064735
English,7,9,6,1,1,1.8128337247742592e-19,0.7954195924194606,0.7954195924194606
English,15,25,7,2,1,2.2037216067345973e-19,0.7189088616131487,0.7189088616131487
English,32,49,7,2,2,2.556587047599555e-19,0.8688765907497665,0.8688765907497665
English,26,31,6,0,2,4.284691752207529e-19,0.8682997494133244,0.8682997494133244
English,7,31,7,1,1,7.200877122213069e-19,0.8829882123278786,0.8829882123278786
English,4,9,6,1,1,8.422848623323825e-19,0.8198703580966297,0.8198703580966297
English,12,31,7,1,1,8.799779570713976e-19,0.8822247463556829,0.8822247463556829
English,15,45,6,1,1,1.3389114212308749e-18,0.7907561759412024,0.7907561759412024
English,33,9,6,1,2,3.4357420266222468e-18,0.7858187108667039,0.7858187108667039
English,50,31,7,1,1,3.7671723375753675e-18,0.8645959011892758,0.8645959011892758
English,13,47,7,1,1,5.354291128583601e-18,0.7870266513420124,0.7870266513420124
English,43,9,7,1,1,1.0666332915267992e-17,0.8135789964222538,0.8135789964222538
English,13,9,7,1,2,1.5075106643095903e-17,0.7760072399553742,0.7760072399553742
English,40,9,7,1,2,1.5694571453593862e-17,0.7938793397547522,0.7938793397547522
English,15,30,6,1,3,1.9626381319402105e-17,0.7463797458523574,0.7463797458523574
English,30,9,6,1,1,2.0682136778458467e-17,0.837861708922394,0.837861708922394
English,2,10,7,1,1,2.6735380766661386e-17,0.8563667765337251,0.8563667765337251
English,2,33,7,1,1,3.638012793998921e-17,0.8631689969111642,0.8631689969111642
English,31,29,7,0,1,3.9435101148523855e-17,0.8357842700849609,0.8357842700849609
English,2,14,7,1,1,4.0548987498065144e-17,0.9031413513825235,0.9031413513825235
English,47,31,7,1,2,4.5779604087926095e-17,0.8509947872856083,0.8509947872856083
English,33,31,7,1,2,4.818934187710392e-17,0.9061719037608089,0.9061719037608089
English,39,9,7,1,1,8.606461868233878e-17,0.7979180621627618,0.7979180621627618
English,10,31,7,0,1,1.453937667908651e-16,0.8639868320078249,0.8639868320078249
English,29,31,7,0,1,1.5030654122318443e-16,0.8871171202711736,0.8871171202711736
English,4,31,7,1,1,1.792143014269218e-16,0.8832925382011727,0.8832925382011727
English,25,30,7,2,2,1.9785761311045763e-16,0.8895380921073218,0.8895380921073218
English,2,29,7,1,1,2.0783945353837814e-16,0.9094559094357549,0.9094559094357549
English,15,23,7,1,1,2.662220429078961e-16,0.7647750714388182,0.7647750714388182
English,32,44,7,2,2,4.0999114368081475e-16,0.9002812856245681,0.9002812856245681
English,25,49,7,2,2,6.152903053597115e-16,0.8833616855689133,0.8833616855689133
English,35,9,7,1,1,2.100249074554792e-15,0.851828889606389,0.851828889606389
English,5,29,2,1,1,2.5597699236416373e-15,0.8951881971876884,0.8951881971876884
English,32,27,7,2,1,2.590436306092185e-15,0.8542727909779813,0.8542727909779813
English,2,11,7,1,1,2.9406537139321836e-15,0.9147022001324202,0.9147022001324202
English,6,31,7,0,1,3.297796673598111e-15,0.8831192953917174,0.8831192953917174
English,25,42,7,2,2,3.697215126377233e-15,0.8891888623536999,0.8891888623536999
English,32,37,7,2,1,3.833808286736252e-15,0.8303143771575767,0.8303143771575767
English,7,50,6,1,1,4.1929713949370526e-15,0.8654250104856922,0.8654250104856922
English,2,50,7,1,1,4.490849167292231e-15,0.8387196926057676,0.8387196926057676
English,47,50,7,1,1,5.6948623521154015e-15,0.8549738619807636,0.8549738619807636
English,19,31,7,1,1,6.215678957781064e-15,0.8997647037001679,0.8997647037001679
English,4,12,3,1,1,7.828633740813104e-15,0.9166812197630855,0.9166812197630855
English,25,9,7,2,2,9.52145489883943e-15,0.7689007706246839,0.7689007706246839
English,25,37,7,2,2,1.0759564302202439e-14,0.8328742718984384,0.8328742718984384
English,10,47,4,1,1,1.1788158385535004e-14,0.8293240041987561,0.8293240041987561
English,15,33,7,1,1,1.4119740577528623e-14,0.7453449148117258,0.7453449148117258
English,3,33,7,1,1,1.5285257001926732e-14,0.8500219902230364,0.8500219902230364
English,7,11,7,1,1,1.646569002607149e-14,0.9150912397482507,0.9150912397482507
English,25,27,7,2,3,2.0399395727784604e-14,0.8333922476104495,0.8333922476104495
English,7,15,7,1,1,2.2398603522630974e-14,0.606455035746321,0.606455035746321
English,11,9,6,1,1,2.475199966269015e-14,0.7955994454650928,0.7955994454650928
English,3,31,7,1,1,2.8837360059274783e-14,0.8790533411882845,0.8790533411882845
English,31,37,7,1,1,3.3375638668226366e-14,0.8748204027647417,0.8748204027647417
English,2,25,7,2,2,3.452703789789606e-14,0.8409667577741936,0.8409667577741936
English,2,12,6,1,1,3.5820299004014206e-14,0.9138464078144704,0.9138464078144704
English,2,47,7,1,1,5.1159259863787874e-14,0.7759420120404024,0.7759420120404024
English,2,1,7,1,1,5.330279705710007e-14,0.911069317137432,0.911069317137432
English,7,33,7,1,1,5.3541866655800205e-14,0.8781682074063194,0.8781682074063194
English,32,15,7,2,1,5.552720183048069e-14,0.5284040660127596,0.5284040660127596
English,7,45,7,1,1,5.876317828163024e-14,0.8635827061517007,0.8635827061517007
English,25,12,7,2,3,6.195506100263316e-14,0.885779508910348,0.885779508910348
English,31,44,7,1,1,7.221570662392771e-14,0.8381977223840165,0.8381977223840165
English,32,4,7,2,2,9.240875025545501e-14,0.8771892041364552,0.8771892041364552
English,28,37,4,1,1,1.0552493030404075e-13,0.9279435304973382,0.9279435304973382
English,12,9,7,1,1,1.1006953390549796e-13,0.8019462229062793,0.8019462229062793
English,32,50,7,2,2,1.116745372860862e-13,0.7823580701059051,0.7823580701059051
English,43,12,7,1,1,1.1284619587483058e-13,0.8989258401522726,0.8989258401522726
English,25,22,6,2,2,1.199333839477403e-13,0.864272400784954,0.864272400784954
English,30,27,5,1,1,1.3660876540878898e-13,0.9042237672981398,0.9042237672981398
English,32,16,7,2,2,1.4398735957834816e-13,0.8768599595606462,0.8768599595606462
English,32,12,5,2,2,1.491839137446699e-13,0.8682972828241173,0.8682972828241173
English,12,14,7,1,1,1.528144722717782e-13,0.8940265702229838,0.8940265702229838
English,15,41,7,1,1,1.544848977481926e-13,0.7597711418897943,0.7597711418897943
English,15,37,7,1,1,1.6999018749297368e-13,0.6833892020100518,0.6833892020100518
English,14,31,7,1,2,1.8204884253773852e-13,0.8560835760312235,0.8560835760312235
English,25,14,7,2,2,1.9667258306304042e-13,0.8596495040749411,0.8596495040749411
English,3,11,7,1,1,1.9804399218236687e-13,0.9089722969410302,0.9089722969410302
English,24,9,7,1,2,2.0248652547376736e-13,0.7631945340668391,0.7631945340668391
English,1,31,7,1,1,2.2046741784808293e-13,0.8613128078720825,0.8613128078720825
English,39,31,7,0,1,2.42887069921788e-13,0.8865871860256705,0.8865871860256705
English,4,29,7,1,1,2.471296350480359e-13,0.9123871342749772,0.9123871342749772
English,2,38,7,1,1,2.537306830364523e-13,0.9016572576751791,0.9016572576751791
English,2,43,7,1,1,2.770438062238233e-13,0.9101147992063053,0.9101147992063053
English,10,29,7,0,1,2.853179219946514e-13,0.8945208814391524,0.8945208814391524
English,37,9,7,1,1,3.0562561953956735e-13,0.8535499230603592,0.8535499230603592
English,22,13,7,1,1,3.25237485698345e-13,0.8941365198162357,0.8941365198162357
English,26,27,7,1,1,3.51626833959886e-13,0.9039992052606297,0.9039992052606297
English,33,29,7,1,1,4.081619113965396e-13,0.8254530822586879,0.8254530822586879
English,25,4,7,2,2,4.09027543417124e-13,0.8834004540358251,0.8834004540358251
English,30,44,5,1,1,4.163195852662403e-13,0.8790994724645619,0.8790994724645619
English,19,27,2,1,1,4.1668000817929983e-13,0.8731714902975861,0.8731714902975861
English,22,33,7,1,1,4.225787437011274e-13,0.875260628434016,0.875260628434016
English,17,9,7,1,2,4.756033772154858e-13,0.8213296629240193,0.8213296629240193
English,32,29,7,2,2,4.930040453890503e-13,0.8147133020576494,0.8147133020576494
English,26,50,7,1,1,5.085723465792391e-13,0.8646478570936773,0.8646478570936773
English,3,14,7,1,1,5.116697576939847e-13,0.8914101096867404,0.8914101096867404
English,10,45,5,1,1,5.256243333848536e-13,0.8846698969242945,0.8846698969242945
English,47,9,6,1,3,5.318582511512418e-13,0.8422673496132367,0.8422673496132367
English,31,27,7,1,1,5.757447480879488e-13,0.8546190265932341,0.8546190265932341
English,13,11,7,1,1,5.963378569132987e-13,0.894894089553397,0.894894089553397
English,15,12,7,1,2,6.027082113705222e-13,0.6833137030159903,0.6833137030159903
English,32,28,7,2,2,6.554825884808988e-13,0.8504575075128185,0.8504575075128185
English,2,26,7,1,1,6.728136705070192e-13,0.9285329067085057,0.9285329067085057
English,14,29,6,1,1,7.00085810172804e-13,0.8815046791688416,0.8815046791688416
English,6,15,7,0,1,7.666441096413654e-13,0.6084612943660326,0.6084612943660326
English,2,45,7,1,1,9.570887156275672e-13,0.8477675229171479,0.8477675229171479
English,10,26,5,0,1,1.0562208742063848e-12,0.9019702049318462,0.9019702049318462
English,3,13,7,1,1,1.1304864661168462e-12,0.8738202524573851,0.8738202524573851
English,28,12,7,1,1,1.1769477230352637e-12,0.8981756496078425,0.8981756496078425
English,7,38,7,1,1,1.2100361284737352e-12,0.8996269815841291,0.8996269815841291
English,25,44,6,2,2,1.3240918392723784e-12,0.8911692299366982,0.8911692299366982
English,1,27,6,1,1,1.3325690582022304e-12,0.9031361166580816,0.9031361166580816
English,28,9,6,1,1,1.375268348050303e-12,0.8104947017610167,0.8104947017610167
English,43,45,3,1,1,1.3940536143142857e-12,0.8891692055203212,0.8891692055203212
English,3,45,4,1,1,1.4614649909666889e-12,0.8409752929664447,0.8409752929664447
English,29,9,7,1,2,1.5385035570608539e-12,0.8123330065921487,0.8123330065921487
English,11,31,7,1,2,1.5907805579179137e-12,0.8220629964358798,0.8220629964358798
English,23,13,7,1,1,1.7242169388143245e-12,0.8575867824271528,0.8575867824271528
English,7,41,7,1,1,1.997707987436818e-12,0.9305314607371363,0.9305314607371363
English,15,5,7,1,1,2.0303118198189287e-12,0.7343497944167972,0.7343497944167972
English,23,31,7,1,1,2.0803130239320426e-12,0.8761621486532525,0.8761621486532525
English,32,30,7,2,2,2.209453386145207e-12,0.8263713099168322,0.8263713099168322
English,15,27,4,1,2,2.287060855805879e-12,0.6653531275497593,0.6653531275497593
English,45,9,7,1,3,2.434845637624041e-12,0.7914192040237865,0.7914192040237865
English,50,9,6,1,2,2.583981521829517e-12,0.7360836818935536,0.7360836818935536
English,30,12,6,1,1,2.5896307065584838e-12,0.9065060790269506,0.9065060790269506
English,43,27,7,1,1,2.639974770729424e-12,0.908540017383009,0.908540017383009
English,13,29,7,1,1,2.7028711038633672e-12,0.869230218513685,0.869230218513685
English,28,29,6,0,1,2.7883282280977977e-12,0.891275253226513,0.891275253226513
English,15,32,7,2,1,2.854434730884673e-12,0.6736925456081881,0.6736925456081881
English,39,11,6,1,1,2.8651431665656984e-12,0.9185221305454246,0.9185221305454246
English,43,50,7,1,1,2.964699819449088e-12,0.8616053326592829,0.8616053326592829
English,47,12,7,1,1,3.0538717133003954e-12,0.8514009654788701,0.8514009654788701
English,3,26,5,1,1,3.1088315204661656e-12,0.9168209866741047,0.9168209866741047
English,2,27,6,1,1,3.240102833196953e-12,0.8942770793999532,0.8942770793999532
English,28,41,5,1,1,3.3360201246429026e-12,0.9246390136103487,0.9246390136103487
English,22,9,7,1,1,3.601238756965896e-12,0.7879884648836382,0.7879884648836382
English,31,49,7,2,1,3.692157097691064e-12,0.7578332929331689,0.7578332929331689
English,16,9,7,1,3,3.877189307897031e-12,0.7562634644701149,0.7562634644701149
English,10,41,7,1,1,4.125253347528836e-12,0.908948862195622,0.908948862195622
English,34,37,7,1,1,4.240168064630138e-12,0.8879643934785257,0.8879643934785257
English,47,29,6,1,1,4.371563980353978e-12,0.8787719209565286,0.8787719209565286
English,15,11,7,1,1,4.552509673691981e-12,0.7307041272087801,0.7307041272087801
English,34,50,7,1,1,4.562473365863351e-12,0.8045066979969795,0.8045066979969795
English,35,27,1,1,1,4.673588420238618e-12,0.8858471011408245,0.8858471011408245
English,15,38,5,1,1,5.3641880187683844e-12,0.7078465109630838,0.7078465109630838
English,22,15,7,1,1,5.410043176074355e-12,0.6122410564722489,0.6122410564722489
English,39,29,7,0,1,5.856870391609415e-12,0.8956359695216984,0.8956359695216984
English,32,42,7,2,2,6.300894703479182e-12,0.8480220545672902,0.8480220545672902
English,15,44,7,1,1,6.35103236104637e-12,0.6889147200821424,0.6889147200821424
English,24,31,7,1,1,6.639735029871114e-12,0.8694554177560739,0.8694554177560739
English,14,44,7,1,1,7.0211896959274915e-12,0.8724971633065267,0.8724971633065267
English,2,37,7,1,1,7.1224722785546885e-12,0.8954800769328402,0.8954800769328402
English,37,13,7,1,1,7.610089185041122e-12,0.8261138708343057,0.8261138708343057
