language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Persian,21,22,3,0,1,5.188537491431011e-09,0.4696844774208702,0.4696844774208702
Persian,13,17,5,0,4,7.365601082295458e-09,0.5469050407956253,0.5469050407956253
Persian,15,17,3,0,2,6.341761614847306e-07,0.44811814520879056,0.44811814520879056
Persian,17,21,3,0,3,9.061754145304951e-07,0.4822875679073472,0.4822875679073472
Persian,4,6,4,1,2,9.928915718381205e-07,0.43413880502603464,0.43413880502603464
Persian,11,13,3,0,3,1.7860132220561702e-06,0.4180307632271469,0.4180307632271469
Persian,17,22,4,0,4,2.204342482466641e-06,0.4520990191664173,0.4520990191664173
Persian,9,11,7,0,5,2.813963166862325e-06,0.436307854500016,0.436307854500016
Persian,39,49,3,1,3,4.21613618824901e-06,0.4711528113770851,0.4711528113770851
Persian,4,30,4,0,3,6.563078500336111e-06,0.46995328320171603,0.46995328320171603
Persian,13,16,3,0,3,9.552249668197413e-06,0.4778348180579317,0.4778348180579317
Persian,4,3,5,0,3,1.2997651346140964e-05,0.2749778071862279,0.2749778071862279
Persian,22,34,4,0,2,1.4892771440981619e-05,0.35311154941519696,0.35311154941519696
Persian,16,17,1,0,1,2.6000377853012756e-05,0.4026338753003244,0.4026338753003244
Persian,4,8,4,0,3,4.289122494397014e-05,0.349708169911399,0.349708169911399
Persian,2,4,6,1,3,4.9278281511632607e-05,0.40352119010226367,0.40352119010226367
Persian,15,22,6,0,6,4.99956965252468e-05,0.42393498495354015,0.42393498495354015
Persian,4,7,4,0,3,7.812452059690012e-05,0.37292190114401297,0.37292190114401297
Persian,7,8,1,0,1,8.309619299923646e-05,0.4456571570489436,0.4456571570489436
Persian,4,45,4,0,3,8.425934646893001e-05,0.293366671295066,0.293366671295066
Persian,35,13,7,0,4,8.868120429881077e-05,0.361227497447199,0.361227497447199
Persian,13,15,3,0,2,0.00011716136497056017,0.3060495880403373,0.3060495880403373
Persian,18,50,3,0,3,0.00015577155878553878,0.44134962502425235,0.44134962502425235
Persian,38,40,7,0,1,0.00019646284422025818,0.44609687178696567,0.44609687178696567
Persian,45,5,4,0,4,0.00027575798671417007,0.3011098846084135,0.3011098846084135
Persian,36,48,3,0,3,0.00030699027946545716,0.42212132795646673,0.42212132795646673
Persian,49,6,5,1,5,0.000316005005075724,0.3861857703649671,0.3861857703649671
Persian,6,19,3,1,3,0.0003192473111590501,0.4779267199747962,0.4779267199747962
Persian,40,47,2,0,2,0.00034232754400958653,0.33397334102057324,0.33397334102057324
Persian,39,47,4,0,4,0.0003521131338917577,0.30254428932924915,0.30254428932924915
Persian,28,7,4,0,4,0.00046473336084024424,0.32327460759321575,0.32327460759321575
Persian,5,47,4,0,4,0.0005577168273721645,0.3319652431232591,0.3319652431232591
Persian,35,11,1,0,1,0.0007128782115920607,0.317712369913664,0.317712369913664
Persian,45,44,7,0,7,0.000806822093991968,0.3863936293827441,0.3863936293827441
Persian,18,49,3,1,2,0.0008090321201026627,0.3463622879216593,0.3463622879216593
Persian,38,9,1,0,1,0.0008093671451381935,0.48444612879417537,0.48444612879417537
Persian,45,9,3,0,3,0.0008125861232104709,0.4047807599283055,0.4047807599283055
Persian,23,5,4,0,4,0.0008147833914730354,0.40308194598446995,0.40308194598446995
Persian,43,35,7,0,7,0.0008746846738054182,0.310244983251504,0.310244983251504
Persian,40,41,1,0,1,0.0009054820426604527,0.31533867807191823,0.31533867807191823
Persian,1,47,4,0,2,0.0009055878275486481,0.27685594285808235,0.27685594285808235
Persian,31,7,2,0,2,0.0010054557006238703,0.29665142709088815,0.29665142709088815
Persian,18,47,4,0,4,0.001027003415525159,0.30554832523157127,0.30554832523157127
Persian,6,47,4,1,2,0.0011073298395904649,0.29861368870352534,0.29861368870352534
Persian,30,5,4,0,4,0.0011235682735415257,0.3542673999271051,0.3542673999271051
Persian,49,18,3,1,3,0.001158872131928462,0.48211697665434977,0.48211697665434977
Persian,22,4,6,0,6,0.001199653891748881,0.3233267424195446,0.3233267424195446
Persian,1,45,5,0,4,0.0012345068578305354,0.13515648685070192,0.13515648685070192
Persian,6,4,4,1,3,0.0012856449911521812,0.3080375341046419,0.3080375341046419
Persian,35,1,1,0,1,0.001366717721695868,0.32677936921909945,0.32677936921909945
Persian,42,24,7,0,7,0.001386864698986544,0.2645680571016929,0.2645680571016929
Persian,39,10,3,0,3,0.0013907848605922066,0.24255054123395098,0.24255054123395098
Persian,28,32,7,0,7,0.0014344889150464182,0.3692776393687603,0.3692776393687603
Persian,48,5,1,0,1,0.0015171541272210867,0.27424438098778925,0.27424438098778925
Persian,7,9,4,0,3,0.0015751500625254785,0.34956047284975056,0.34956047284975056
Persian,4,47,4,0,4,0.0016067231243998834,0.29934566148843567,0.29934566148843567
Persian,5,44,4,0,3,0.0016111491210452071,0.4416968172005859,0.4416968172005859
Persian,12,13,2,0,2,0.0016204470300955585,0.2755005541471177,0.2755005541471177
Persian,15,16,1,0,1,0.0016762888346251337,0.2631809246769448,0.2631809246769448
Persian,9,5,1,0,1,0.002181697139461079,0.2773001403241596,0.2773001403241596
Persian,4,46,6,1,6,0.0024198862729951187,0.5481773209046856,0.5481773209046856
Persian,18,8,3,0,2,0.0024423629875217285,0.4101467205888466,0.4101467205888466
Persian,4,36,6,0,6,0.0024958934660366436,0.3516044743726095,0.3516044743726095
Persian,9,10,3,0,3,0.002620023576085247,0.3934508848815806,0.3934508848815806
Persian,47,37,1,0,1,0.002825805414201749,0.28487677328260075,0.28487677328260075
Persian,40,48,3,0,3,0.0030220298902191383,0.43643996240371813,0.43643996240371813
Persian,39,37,3,0,3,0.0031722411812816435,0.41532171643706156,0.41532171643706156
Persian,35,40,1,0,1,0.0031923702785687717,0.36976574959726183,0.36976574959726183
Persian,5,19,3,0,3,0.003235089692042422,0.3660978251718337,0.3660978251718337
Persian,39,36,3,0,3,0.0032435870762247652,0.44735281616283457,0.44735281616283457
Persian,20,21,1,0,1,0.003345043289298803,0.26443213697352735,0.26443213697352735
Persian,40,37,1,0,1,0.0033454602429036683,0.27294294369028804,0.27294294369028804
Persian,31,28,1,0,1,0.0033808116253971864,-0.1880325472891647,0.1880325472891647
