language,V1,total_occurrence,active_days,Code,Industry,ISIC_Rev4,ISIC Rev. 4 description
English,1,154.36493826,111,A01,Agriculture and hunting,1,"01 - Crop and animal production, hunting and related service activities"
English,2,49.41551175,58,A02,Forestry and logging,2,02 - Forestry and logging
English,3,51.85710261,60,A03,Fishing and aquaculture,3,03 - Fishing and aquaculture
English,4,67.28869467000001,84,B05,Mining of coal and lignite,5,05 - Mining of coal and lignite
English,5,312.68014609999994,107,B06,Extraction of crude petroleum and natural gas,6,06 - Extraction of crude petroleum and natural gas
English,6,65.13472809,79,B07,Mining of metal ores,7,07 - Mining of metal ores
English,7,61.2351032,71,B08,Other mining and quarrying,8,08 - Other mining and quarrying
English,8,194.39159601,111,B09,Mining support service activities,9,09 - Mining support service activities
English,9,356.24211798,112,C10T12,Manufacture of food products; beverages and tobacco products,"10, 11, 12",10 - Manufacture of food products | 11 - Manufacture of beverages | 12 - Manufacture of tobacco products
English,10,260.56880074000003,111,C13T15,"Manufacture of textiles, wearing apparel, leather and related products","13, 14, 15",13 - Manufacture of textiles | 14 - Manufacture of wearing apparel | 15 - Manufacture of leather and related products
English,11,106.79974481,106,C16,Manufacture of wood and of products of wood and cork,16,"16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
English,12,313.06641447000004,113,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media,"17, 18",17 - Manufacture of paper and paper products | 18 - Printing and reproduction of recorded media
English,13,102.80509583999999,100,C19,Manufacture of coke and refined petroleum products,19,19 - Manufacture of coke and refined petroleum products
English,14,156.99138023,109,C20,Manufacture of chemicals and chemical products,20,20 - Manufacture of chemicals and chemical products
English,15,153.85305807999998,108,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
English,16,105.93605418000001,105,C22,Manufacture of rubber and plastic products,22,22 - Manufacture of rubber and plastics products
English,17,137.23262256,108,C23,Manufacture of other non-metallic mineral products,23,23 - Manufacture of other non-metallic mineral products
English,18,74.29918202000002,88,C24A,Manufacture of basic iron and steel,"241, 2431",241 - Manufacture of basic iron and steel | 2431 - Casting of iron and steel
English,19,119.69638941,108,C24B,Manufacture of basic precious and other non-ferrous metals,"242, 2432",242 - Manufacture of basic precious and other non-ferrous metals | 2432 - Casting of non-ferrous metals
English,20,104.67666406,107,C25,Manufacture of fabricated metal products,25,"25 - Manufacture of fabricated metal products, except machinery and equipment"
English,21,93.09170724,99,C26,"Manufacture of computer, electronic and optical products",26,"26 - Manufacture of computer, electronic and optical products"
English,22,90.09789426,97,C27,Manufacture of electrical equipment,27,27 - Manufacture of electrical equipment
English,23,145.29801726,106,C28,Manufacture of machinery and equipment n.e.c. ,28,28 - Manufacture of machinery and equipment n.e.c.
English,24,87.9059881,103,C29,"Manufacture of motor vehicles, trailers and semi-trailers",29,"29 - Manufacture of motor vehicles, trailers and semi-trailers"
English,25,399.42898070999996,108,C301,Building of ships and boats,301,301 - Building of ships and boats
English,26,533.88151871,112,C302T309,Manufacture of other transport equipment,302 to 309,302 - Manufacture of railway locomotives and rolling stock | 303 - Manufacture of air and spacecraft and related machinery | 304 - Manufacture of military fighting vehicles | 309 - Manufacture of transport equipment n.e.c.
English,27,124.14469629,104,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,"31, 32, 33",31 - Manufacture of furniture | 32 - Other manufacturing | 33 - Repair and installation of machinery and equipment
English,28,344.28836705,111,D,"Electricity, gas, steam and air conditioning supply",35,"35 - Electricity, gas, steam and air conditioning supply"
English,29,255.45353216000004,113,E,"Water supply; sewerage, waste management and remediation activities","36, 37, 38, 39","36 - Water collection, treatment and supply | 37 - Sewerage | 38 - Waste collection, treatment and disposal activities; materials recovery | 39 - Remediation activities and other waste management services"
English,30,144.20258534,109,F,Construction,"41, 42, 43",41 - Construction of buildings | 42 - Civil engineering | 43 - Specialized construction activities
English,31,209.11727757000003,110,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"45, 46, 47","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles | 46 - Wholesale trade, except of motor vehicles and motorcycles | 47 - Retail trade, except of motor vehicles and motorcycles"
English,32,262.3603145,103,H49,Land transport and transport via pipelines,49,49 - Land transport and transport via pipelines
English,33,309.712463,108,H50,Water transport,50,50 - Water transport
English,34,274.55022948,110,H51,Air transport,51,51 - Air transport
English,35,241.32140937000003,111,H52,Warehousing and support activities for transportation,52,52 - Warehousing and support activities for transportation
English,36,66.70203144,83,H53,Postal and courier activities,53,53 - Postal and courier activities
English,37,159.29351670999998,111,I,Accommodation and food service activities,"55, 56",55 - Accommodation | 56 - Food and beverage service activities
English,38,345.73971346,112,J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities","58, 59, 60","58 - Publishing activities | 59 - Motion picture, video and television programme production, sound recording and music publishing activities | 60 - Programming and broadcasting activities"
English,39,56.208780600000004,67,J61,Telecommunications,61,61 - Telecommunications
English,40,171.87265503999998,112,J62_63,Computer programming and information service activities,"62, 63","62 - Computer programming, consultancy and related activities | 63 - Information service activities"
English,41,309.9897671,113,K,Financial and insurance activities,"64, 65, 66","64 - Financial service activities, except insurance and pension funding | 65 - Insurance, reinsurance and pension funding, except compulsory social security | 66 - Activities auxiliary to financial service and insurance activities"
English,42,147.46979616,106,L,Real estate activities,68,68 - Real estate activities
English,43,390.09373618,112,M,"Professional, scientific and technical activities",69 to 75,"69 - Legal and accounting activities | 70 - Activities of head offices; management consultancy activities | 71 - Architectural and engineering activities; technical testing and analysis | 72 - Scientific research and development | 73 - Advertising and market research | 74 - Other professional, scientific and technical activities | 75 - Veterinary activities"
English,44,501.98144260999993,113,N,Administrative and support service activities,77 to 82,"77 - Rental and leasing activities | 78 - Employment activities | 79 - Travel agency, tour operator, reservation service and related activities | 80 - Security and investigation activities | 81 - Services to buildings and landscape activities | 82 - Office administrative, office support and other business support activities"
English,45,809.75021787,113,O,Public administration and defence; compulsory social security,84,84 - Public administration and defence; compulsory social security
English,46,84.87520117999999,80,P,Education,85,85 - Education
English,47,418.47257306000006,113,Q,Human health and social work activities,"86, 87, 88",86 - Human health activities | 87 - Residential care activities | 88 - Social work activities without accommodation
English,48,143.83076812000002,108,R,"Arts, entertainment and recreation activities","90, 91, 92, 93","90 - Creative, arts and entertainment activities | 91 - Libraries, archives, museums and other cultural activities | 92 - Gambling and betting activities | 93 - Sports activities and amusement and recreation activities"
English,49,174.35404997999998,112,S,Other service activities,"94,95, 96",94 - Activities of membership organizations | 95 - Repair of computers and personal and household goods | 96 - Other personal service activities
English,50,284.97542401,113,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,"97, 98",97 - Activities of households as employers of domestic personnel | 98 - Undifferentiated goods- and services-producing activities of private households for own use
