language,V1,total_occurrence,active_days,Code,Industry,ISIC_Rev4,ISIC Rev. 4 description
Persian,1,107.98551299,110,A01,Agriculture and hunting,1,"01 - Crop and animal production, hunting and related service activities"
Persian,2,103.63496226,110,A02,Forestry and logging,2,02 - Forestry and logging
Persian,3,122.28232493,110,A03,Fishing and aquaculture,3,03 - Fishing and aquaculture
Persian,4,54.68665171,110,B05,Mining of coal and lignite,5,05 - Mining of coal and lignite
Persian,5,89.57593005,110,B06,Extraction of crude petroleum and natural gas,6,06 - Extraction of crude petroleum and natural gas
Persian,6,53.13543043,110,B07,Mining of metal ores,7,07 - Mining of metal ores
Persian,7,59.592181460000006,110,B08,Other mining and quarrying,8,08 - Other mining and quarrying
Persian,8,116.72995509000002,110,B09,Mining support service activities,9,09 - Mining support service activities
Persian,9,224.44746139999998,110,C10T12,Manufacture of food products; beverages and tobacco products,"10, 11, 12",10 - Manufacture of food products | 11 - Manufacture of beverages | 12 - Manufacture of tobacco products
Persian,10,189.96818006,110,C13T15,"Manufacture of textiles, wearing apparel, leather and related products","13, 14, 15",13 - Manufacture of textiles | 14 - Manufacture of wearing apparel | 15 - Manufacture of leather and related products
Persian,11,82.45442073999999,110,C16,Manufacture of wood and of products of wood and cork,16,"16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
Persian,12,223.27934331,110,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media,"17, 18",17 - Manufacture of paper and paper products | 18 - Printing and reproduction of recorded media
Persian,13,88.01810512000002,110,C19,Manufacture of coke and refined petroleum products,19,19 - Manufacture of coke and refined petroleum products
Persian,14,95.21853397000001,110,C20,Manufacture of chemicals and chemical products,20,20 - Manufacture of chemicals and chemical products
Persian,15,81.39505186,110,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
Persian,16,97.40054074,110,C22,Manufacture of rubber and plastic products,22,22 - Manufacture of rubber and plastics products
Persian,17,106.16474912999999,110,C23,Manufacture of other non-metallic mineral products,23,23 - Manufacture of other non-metallic mineral products
Persian,18,60.255763429999995,110,C24A,Manufacture of basic iron and steel,"241, 2431",241 - Manufacture of basic iron and steel | 2431 - Casting of iron and steel
Persian,19,74.02167395,110,C24B,Manufacture of basic precious and other non-ferrous metals,"242, 2432",242 - Manufacture of basic precious and other non-ferrous metals | 2432 - Casting of non-ferrous metals
Persian,20,86.32248824,110,C25,Manufacture of fabricated metal products,25,"25 - Manufacture of fabricated metal products, except machinery and equipment"
Persian,21,74.67016024000002,110,C26,"Manufacture of computer, electronic and optical products",26,"26 - Manufacture of computer, electronic and optical products"
Persian,22,80.68758859,110,C27,Manufacture of electrical equipment,27,27 - Manufacture of electrical equipment
Persian,23,93.97680496000001,110,C28,Manufacture of machinery and equipment n.e.c. ,28,28 - Manufacture of machinery and equipment n.e.c.
Persian,24,89.31233919,110,C29,"Manufacture of motor vehicles, trailers and semi-trailers",29,"29 - Manufacture of motor vehicles, trailers and semi-trailers"
Persian,25,112.98628550000002,110,C301,Building of ships and boats,301,301 - Building of ships and boats
Persian,26,228.6470947,110,C302T309,Manufacture of other transport equipment,302 to 309,302 - Manufacture of railway locomotives and rolling stock | 303 - Manufacture of air and spacecraft and related machinery | 304 - Manufacture of military fighting vehicles | 309 - Manufacture of transport equipment n.e.c.
Persian,27,82.69896200999999,110,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,"31, 32, 33",31 - Manufacture of furniture | 32 - Other manufacturing | 33 - Repair and installation of machinery and equipment
Persian,28,134.50936019999997,110,D,"Electricity, gas, steam and air conditioning supply",35,"35 - Electricity, gas, steam and air conditioning supply"
Persian,29,126.89210688,110,E,"Water supply; sewerage, waste management and remediation activities","36, 37, 38, 39","36 - Water collection, treatment and supply | 37 - Sewerage | 38 - Waste collection, treatment and disposal activities; materials recovery | 39 - Remediation activities and other waste management services"
Persian,30,90.85910024,110,F,Construction,"41, 42, 43",41 - Construction of buildings | 42 - Civil engineering | 43 - Specialized construction activities
Persian,31,90.73882348000001,110,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"45, 46, 47","45 - Wholesale and retail trade and repair of motor vehicles and motorcycles | 46 - Wholesale trade, except of motor vehicles and motorcycles | 47 - Retail trade, except of motor vehicles and motorcycles"
Persian,32,112.80262370999999,110,H49,Land transport and transport via pipelines,49,49 - Land transport and transport via pipelines
Persian,33,123.08362367000002,110,H50,Water transport,50,50 - Water transport
Persian,34,131.05308969,110,H51,Air transport,51,51 - Air transport
Persian,35,122.06724985999999,110,H52,Warehousing and support activities for transportation,52,52 - Warehousing and support activities for transportation
Persian,36,55.69798501,110,H53,Postal and courier activities,53,53 - Postal and courier activities
Persian,37,71.74517295,110,I,Accommodation and food service activities,"55, 56",55 - Accommodation | 56 - Food and beverage service activities
Persian,38,178.14633451,110,J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities","58, 59, 60","58 - Publishing activities | 59 - Motion picture, video and television programme production, sound recording and music publishing activities | 60 - Programming and broadcasting activities"
Persian,39,46.16967724999999,110,J61,Telecommunications,61,61 - Telecommunications
Persian,40,95.82305677000001,110,J62_63,Computer programming and information service activities,"62, 63","62 - Computer programming, consultancy and related activities | 63 - Information service activities"
Persian,41,160.21657531000002,110,K,Financial and insurance activities,"64, 65, 66","64 - Financial service activities, except insurance and pension funding | 65 - Insurance, reinsurance and pension funding, except compulsory social security | 66 - Activities auxiliary to financial service and insurance activities"
Persian,42,83.91259604,110,L,Real estate activities,68,68 - Real estate activities
Persian,43,180.35087057,110,M,"Professional, scientific and technical activities",69 to 75,"69 - Legal and accounting activities | 70 - Activities of head offices; management consultancy activities | 71 - Architectural and engineering activities; technical testing and analysis | 72 - Scientific research and development | 73 - Advertising and market research | 74 - Other professional, scientific and technical activities | 75 - Veterinary activities"
Persian,44,241.85972429,110,N,Administrative and support service activities,77 to 82,"77 - Rental and leasing activities | 78 - Employment activities | 79 - Travel agency, tour operator, reservation service and related activities | 80 - Security and investigation activities | 81 - Services to buildings and landscape activities | 82 - Office administrative, office support and other business support activities"
Persian,45,367.00262614999997,110,O,Public administration and defence; compulsory social security,84,84 - Public administration and defence; compulsory social security
Persian,46,58.924572319999996,110,P,Education,85,85 - Education
Persian,47,279.41832408,110,Q,Human health and social work activities,"86, 87, 88",86 - Human health activities | 87 - Residential care activities | 88 - Social work activities without accommodation
Persian,48,85.51909255,110,R,"Arts, entertainment and recreation activities","90, 91, 92, 93","90 - Creative, arts and entertainment activities | 91 - Libraries, archives, museums and other cultural activities | 92 - Gambling and betting activities | 93 - Sports activities and amusement and recreation activities"
Persian,49,88.25491763000001,110,S,Other service activities,"94,95, 96",94 - Activities of membership organizations | 95 - Repair of computers and personal and household goods | 96 - Other personal service activities
Persian,50,117.40400086000001,110,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,"97, 98",97 - Activities of households as employers of domestic personnel | 98 - Undifferentiated goods- and services-producing activities of private households for own use
