date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2026-01-01,2.67321781,0.67313875,0.14,0.14,1.20297465,0.32913616,0.76595156,1.07369782,1.78892534,1.51982574,0.7819856,1.41039478,0.23149793,0.7778708999999999,0.50653044,0.43585353,0.41801533,0.3475063,0.32188827,0.8982265300000001,0.26476726,0.22444329,1.13902473,0.39966676,0.68216167,0.79890467,3.18038039,0.8714229099999999,1.23563206,1.1959862,0.92962088,0.36147817,1.73116421,0.2241918199999999,1.92615987,0.23259924,1.94397204,1.10111686,0.14,0.5829919,1.40494505,0.14,4.45826775,2.5852343,3.41797331,0.73318869,2.68006507,1.17343914,1.26591937,0.53864483
2026-01-02,2.78107969,4.88550278,1.29763133,0.18,0.92657949,0.55973317,0.34693518,1.60258966,2.02923164,1.54100401,0.72743137,2.34008615,0.59428095,0.81147125,0.38471755,0.61983593,0.82489667,0.18,0.41172963,0.67418992,0.51204451,0.34938605,1.05040576,1.08592794,0.70813316,1.17081212,1.4037745300000002,2.0159586,2.16847857,1.68409177,0.81162522,0.6464361399999999,3.55418632,0.8202911700000001,2.41644323,1.34594567,1.60093128,1.13689723,0.18,1.1764486,4.3062547,0.27544527,4.83723895,2.97491312,3.66474773,0.28195074,3.44749864,2.50806838,2.00740971,2.13932856
2026-01-03,5.87553517,1.50643167,2.70515523,1.09824321,2.79383521,0.50212771,1.11796402,1.70716851,3.12783906,2.72074917,1.84684964,7.82530873,1.16070577,2.78073688,1.37987985,1.1028777,1.32527078,0.32265745,0.62651917,1.2458103,2.00079985,0.70678345,1.79495371,0.45709757,1.5863921,6.16589964,1.19819374,2.12707668,2.16669885,2.33789293,1.64385822,2.35593834,1.35429726,2.37239569,1.57714795,0.83707854,3.1251282700000003,3.67625765,0.26,1.85205258,4.55980108,0.73531416,2.27015591,5.35500433,11.31026399,0.35913028,4.63588594,0.5844857,0.56518192,2.2571685
2026-01-04,7.35607908,1.69767172,0.75653398,2.76795479,3.64364041,0.34695626,0.32,4.63689497,4.03365159,5.54958111,1.81439761,8.32935994,1.36608802,1.42099798,1.80373613,2.20159866,1.59058529,2.27147987,1.25511943,0.8009674800000001,1.03960856,2.43104777,0.99547264,0.82451542,1.07433399,7.14200983,1.60959176,5.99641325,4.39769131,2.58497501,1.61646515,4.0707491,5.98919555,4.74110835,5.37746736,0.98154322,2.32596169,4.14414123,0.62471036,4.95197903,6.20932961,2.8487748500000003,7.00674309,8.4600981,11.9480172,0.7253002000000001,4.51225292,1.1015713,3.73979455,6.56584312
2026-01-05,6.93247034,2.54770213,1.31215421,4.58163582,4.98427899,1.36693876,1.63754753,2.97604059,3.344396,4.39582905,2.59541528,4.76683902,2.68216886,4.18051911,3.61075937,2.05293984,3.59761401,2.80486068,4.02629194,1.88276227,2.41683452,1.98376201,1.79562794,2.11011933,3.05230025,9.88418125,3.64152162,4.84414873,4.17487299,4.93493107,3.94063939,3.05833541,5.59852842,5.3179877,3.47807342,1.18900131,2.45427621,3.91626177,0.96,5.92484354,4.09458474,3.73754848,8.32287164,8.00221073,12.38098094,1.2073773,7.93041447,4.46282429,12.89083343,8.0149432
2026-01-06,5.73709677,0.7747534699999999,0.44912683,1.28176705,6.5804454,1.49711898,1.34205452,1.66366721,4.55505543,2.36683329,1.2388075,6.84301942,0.89667984,1.0415612,1.71751964,1.01785355,1.3503233,3.68248648,2.45755757,1.32100061,0.94956804,1.45847617,0.68236387,1.57608317,0.42,4.69047116,1.81895848,3.49913519,3.26470454,2.39327887,2.47807784,1.49864199,4.69994423,2.49386429,1.90762109,1.75063943,1.4379529,3.67738495,0.56941282,1.23594122,4.23265826,2.64696037,6.37019088,5.63232013,11.26654051,0.42,5.2078609,0.56143179,3.17969829,3.16509059
2026-01-07,6.78916433,2.0866831,0.86528508,0.49759646,6.77164595,5.07076026,1.46835468,2.8504572,4.98677079,2.91611387,1.33210624,5.06754678,1.60302914,1.63985658,1.61628099,1.17012829,2.1650989,1.95932032,1.74455454,1.16399254,1.1347676,3.96513792,0.87100252,0.78367256,1.26511046,6.12177017,2.33191591,3.93960569,5.94566823,3.51112808,2.57456392,2.4512854,6.08120685,2.72644684,2.68162294,1.88465011,2.32217807,5.73488318,0.51040317,2.0979368,5.13297678,1.65793493,5.7039546,7.06305456,14.06077446,0.56774944,7.73573377,2.13420188,1.61574865,8.62816826
2026-01-08,2.6899968,1.76112754,0.43683588,0.45589994,3.19505718,1.17868404,0.96309612,1.61104514,2.56155566,1.41413693,0.52763362,3.29568091,0.94689645,0.54875609,1.05961809,1.6606746099999998,2.05782321,0.92901921,1.26334138,1.20767483,1.13835684,2.26403047,0.77597239,0.32825909,1.35138451,3.37642318,2.22054131,1.42116614,4.76096698,4.13870321,0.68782288,2.44721152,6.12505483,1.65421393,2.00954858,0.82206126,1.96365598,2.88913511,0.2,3.2726310400000003,5.45501525,3.85082408,4.49906976,4.36444204,8.57998446,1.7833944000000002,6.55914663,1.67734712,3.50827697,3.11080631
2026-01-09,3.09691982,1.37085179,0.4221679,1.0107515,3.00386359,0.66315992,1.0315283,2.86305872,5.79761554,2.83818342,1.51797868,6.05895582,1.64581864,2.50197711,0.87479416,2.77918402,2.9692584,0.57606578,1.29470799,1.68598105,1.64639759,0.7621313,1.5933639,1.17380184,0.90297568,5.32363421,2.11415194,3.54581254,3.54106574,4.92846551,3.21516465,1.63111174,8.50750376,2.76280179,3.31564794,0.57697449,3.27286779,2.95510102,0.29736744,2.33192277,5.02498473,2.26913797,4.69971352,7.49778424,12.11191843,0.80278399,6.74837757,1.69307517,4.02105305,7.73008551
2026-01-10,4.20112808,1.88150117,0.62979125,1.58364693,1.85688288,1.13353738,0.7607633,2.46553296,6.92960954,1.80116369,1.07324364,3.35364993,1.06126217,1.66288524,1.86479934,1.50183812,1.00128738,2.43707783,1.56877861,1.3505939,1.76062815,1.16018145,1.92388517,1.2838877,0.6263107400000001,3.64510379,1.88751155,2.6887496,4.7650143,2.44373931,3.19681161,1.87745582,4.59831042,2.91133901,3.66133855,0.62989433,2.57348911,5.79553937,0.39096842,3.61828914,4.38788914,0.97140477,6.87259636,7.25651545,9.83265285,0.6491993699999999,12.0709046,1.2345767600000002,1.84365387,5.32318591
