language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Arabic,34,23,2,1,6,0.0062455883819526,0.7163194247872743,0.7163194247872743
Chinese,13,16,3,0,3,1.2959810340890112e-27,0.8244824053395479,0.8244824053395479
Chinese,11,13,3,0,3,4.0335969728129893e-19,0.7787875190733327,0.7787875190733327
Chinese,4,6,2,0,2,1.4892901392443996e-18,0.7377455905752068,0.7377455905752068
Chinese,13,17,5,0,4,5.086788834210245e-17,0.7158103911035261,0.7158103911035261
Chinese,22,24,2,0,2,1.1984512909856211e-16,0.7591036287537392,0.7591036287537392
Chinese,17,24,6,0,6,4.025875525627567e-15,0.7938612931647392,0.7938612931647392
Chinese,17,22,5,0,4,4.43335202755688e-15,0.7236004442842545,0.7236004442842545
Chinese,21,24,3,0,3,5.69885162802878e-13,0.7105386004315707,0.7105386004315707
Chinese,9,10,6,0,3,2.735893039998971e-12,0.7520662481836253,0.7520662481836253
Chinese,10,11,3,0,2,6.460699964871659e-12,0.7007601973864606,0.7007601973864606
Chinese,23,3,4,1,2,3.8469490906407455e-11,0.726792314357897,0.726792314357897
English,15,31,7,0,3,3.4511071969891e-33,0.7804724084963023,0.7804724084963023
English,15,9,7,1,4,1.410383981446353e-32,0.8013318629992856,0.8013318629992856
English,31,9,7,1,1,1.2601502706831563e-26,0.8461751359035325,0.8461751359035325
English,2,31,7,1,1,2.5278863638416663e-26,0.8978910782614751,0.8978910782614751
English,25,31,7,2,2,3.181185528624224e-26,0.8981975921324148,0.8981975921324148
English,2,9,7,1,1,3.524762252871317e-23,0.8210475782855963,0.8210475782855963
English,19,9,6,1,2,4.497458289158269e-23,0.8647778424327478,0.8647778424327478
English,26,9,6,1,1,7.000112435311065e-23,0.819545518118612,0.819545518118612
English,6,9,6,1,2,1.4185185480198974e-22,0.8380139120727799,0.8380139120727799
English,43,29,7,1,1,1.4611858910712916e-22,0.9222954358566589,0.9222954358566589
English,15,29,7,0,1,2.3332804502931577e-22,0.7664198771320992,0.7664198771320992
English,1,9,6,1,1,2.438949734540271e-22,0.8321931507348688,0.8321931507348688
English,26,29,7,0,1,3.5472720022721614e-22,0.902978626618087,0.902978626618087
English,43,41,3,1,1,6.323867340762613e-22,0.9492956716689592,0.9492956716689592
English,32,9,7,2,2,1.2801136104387002e-21,0.8030554798319316,0.8030554798319316
English,18,9,6,1,1,3.1197249313520066e-21,0.831364757631843,0.831364757631843
English,13,31,7,1,1,3.3430966328016977e-21,0.8643178382795329,0.8643178382795329
English,15,47,7,1,1,3.8398417349587505e-21,0.8578316668441724,0.8578316668441724
English,7,29,6,1,1,1.8550417052979625e-20,0.9263555152058204,0.9263555152058204
English,43,31,7,1,1,2.0230348546153804e-20,0.9028661182334508,0.9028661182334508
English,32,31,7,2,2,3.1896665354240994e-20,0.882962297024322,0.882962297024322
English,3,9,7,1,1,5.911353867163378e-20,0.8141043503842927,0.8141043503842927
English,2,13,6,1,1,1.0343538117735328e-19,0.888818025568311,0.888818025568311
English,14,9,6,1,2,1.1536595624611776e-19,0.8323337735984199,0.8323337735984199
English,10,9,6,1,1,1.5043687689951102e-19,0.8569511326064735,0.8569511326064735
English,7,9,6,1,1,1.8128337247742592e-19,0.7954195924194606,0.7954195924194606
English,15,25,7,2,1,2.2037216067345973e-19,0.7189088616131487,0.7189088616131487
English,32,49,7,2,2,2.556587047599555e-19,0.8688765907497665,0.8688765907497665
English,26,31,6,0,2,4.284691752207529e-19,0.8682997494133244,0.8682997494133244
English,7,31,7,1,1,7.200877122213069e-19,0.8829882123278786,0.8829882123278786
English,4,9,6,1,1,8.422848623323825e-19,0.8198703580966297,0.8198703580966297
English,12,31,7,1,1,8.799779570713976e-19,0.8822247463556829,0.8822247463556829
English,15,45,6,1,1,1.3389114212308749e-18,0.7907561759412024,0.7907561759412024
English,33,9,6,1,2,3.435742026622247e-18,0.7858187108667039,0.7858187108667039
English,50,31,7,1,1,3.767172337575368e-18,0.8645959011892758,0.8645959011892758
English,13,47,7,1,1,5.354291128583601e-18,0.7870266513420124,0.7870266513420124
English,43,9,7,1,1,1.0666332915267992e-17,0.8135789964222538,0.8135789964222538
English,13,9,7,1,2,1.5075106643095906e-17,0.7760072399553742,0.7760072399553742
English,40,9,7,1,2,1.5694571453593862e-17,0.7938793397547522,0.7938793397547522
English,15,30,6,1,3,1.9626381319402105e-17,0.7463797458523574,0.7463797458523574
English,30,9,6,1,1,2.068213677845847e-17,0.837861708922394,0.837861708922394
English,2,10,7,1,1,2.6735380766661386e-17,0.8563667765337251,0.8563667765337251
English,2,33,7,1,1,3.638012793998921e-17,0.8631689969111642,0.8631689969111642
English,31,29,7,0,1,3.943510114852386e-17,0.8357842700849609,0.8357842700849609
English,2,14,7,1,1,4.054898749806514e-17,0.9031413513825236,0.9031413513825236
English,47,31,7,1,2,4.57796040879261e-17,0.8509947872856083,0.8509947872856083
English,33,31,7,1,2,4.818934187710392e-17,0.9061719037608088,0.9061719037608088
English,39,9,7,1,1,8.606461868233878e-17,0.7979180621627618,0.7979180621627618
English,10,31,7,0,1,1.453937667908651e-16,0.8639868320078249,0.8639868320078249
English,29,31,7,0,1,1.5030654122318443e-16,0.8871171202711736,0.8871171202711736
English,4,31,7,1,1,1.792143014269218e-16,0.8832925382011727,0.8832925382011727
English,25,30,7,2,2,1.9785761311045763e-16,0.8895380921073218,0.8895380921073218
English,2,29,7,1,1,2.0783945353837812e-16,0.9094559094357548,0.9094559094357548
English,15,23,7,1,1,2.662220429078961e-16,0.7647750714388182,0.7647750714388182
English,32,44,7,2,2,4.099911436808148e-16,0.9002812856245681,0.9002812856245681
English,25,49,7,2,2,6.152903053597115e-16,0.8833616855689133,0.8833616855689133
English,35,9,7,1,1,2.100249074554792e-15,0.851828889606389,0.851828889606389
English,5,29,2,1,1,2.5597699236416373e-15,0.8951881971876884,0.8951881971876884
English,32,27,7,2,1,2.590436306092185e-15,0.8542727909779813,0.8542727909779813
English,2,11,7,1,1,2.940653713932184e-15,0.9147022001324202,0.9147022001324202
English,6,31,7,0,1,3.297796673598111e-15,0.8831192953917174,0.8831192953917174
English,25,42,7,2,2,3.697215126377233e-15,0.8891888623536999,0.8891888623536999
English,32,37,7,2,1,3.833808286736252e-15,0.8303143771575767,0.8303143771575767
English,7,50,6,1,1,4.1929713949370526e-15,0.8654250104856922,0.8654250104856922
English,2,50,7,1,1,4.490849167292231e-15,0.8387196926057676,0.8387196926057676
English,47,50,7,1,1,5.6948623521154015e-15,0.8549738619807636,0.8549738619807636
English,19,31,7,1,1,6.215678957781064e-15,0.8997647037001679,0.8997647037001679
English,4,12,3,1,1,7.828633740813104e-15,0.9166812197630856,0.9166812197630856
English,25,9,7,2,2,9.521454898839431e-15,0.7689007706246839,0.7689007706246839
English,25,37,7,2,2,1.075956430220244e-14,0.8328742718984384,0.8328742718984384
English,10,47,4,1,1,1.1788158385535004e-14,0.8293240041987561,0.8293240041987561
English,15,33,7,1,1,1.4119740577528623e-14,0.7453449148117258,0.7453449148117258
English,3,33,7,1,1,1.5285257001926732e-14,0.8500219902230364,0.8500219902230364
English,7,11,7,1,1,1.646569002607149e-14,0.9150912397482508,0.9150912397482508
English,25,27,7,2,3,2.0399395727784604e-14,0.8333922476104495,0.8333922476104495
English,11,9,6,1,1,2.4751999662690153e-14,0.7955994454650928,0.7955994454650928
English,3,31,7,1,1,2.8837360059274783e-14,0.8790533411882845,0.8790533411882845
English,31,37,7,1,1,3.3375638668226366e-14,0.8748204027647417,0.8748204027647417
English,2,25,7,2,2,3.452703789789606e-14,0.8409667577741936,0.8409667577741936
English,2,12,6,1,1,3.5820299004014206e-14,0.9138464078144704,0.9138464078144704
English,2,47,7,1,1,5.1159259863787874e-14,0.7759420120404024,0.7759420120404024
English,2,1,7,1,1,5.3302797057100074e-14,0.911069317137432,0.911069317137432
English,7,33,7,1,1,5.3541866655800205e-14,0.8781682074063194,0.8781682074063194
English,7,45,7,1,1,5.876317828163025e-14,0.8635827061517007,0.8635827061517007
English,25,12,7,2,3,6.195506100263316e-14,0.885779508910348,0.885779508910348
English,31,44,7,1,1,7.221570662392772e-14,0.8381977223840165,0.8381977223840165
English,32,4,7,2,2,9.2408750255455e-14,0.8771892041364552,0.8771892041364552
English,28,37,4,1,1,1.0552493030404077e-13,0.9279435304973382,0.9279435304973382
English,12,9,7,1,1,1.1006953390549797e-13,0.8019462229062793,0.8019462229062793
English,32,50,7,2,2,1.116745372860862e-13,0.7823580701059051,0.7823580701059051
English,43,12,7,1,1,1.1284619587483059e-13,0.8989258401522726,0.8989258401522726
English,25,22,6,2,2,1.199333839477403e-13,0.864272400784954,0.864272400784954
English,30,27,5,1,1,1.3660876540878898e-13,0.9042237672981398,0.9042237672981398
English,32,16,7,2,2,1.4398735957834816e-13,0.8768599595606462,0.8768599595606462
English,32,12,5,2,2,1.491839137446699e-13,0.8682972828241173,0.8682972828241173
English,12,14,7,1,1,1.5281447227177822e-13,0.8940265702229838,0.8940265702229838
English,15,41,7,1,1,1.544848977481926e-13,0.7597711418897943,0.7597711418897943
English,14,31,7,1,2,1.820488425377385e-13,0.8560835760312235,0.8560835760312235
English,25,14,7,2,2,1.9667258306304042e-13,0.8596495040749411,0.8596495040749411
English,3,11,7,1,1,1.980439921823669e-13,0.9089722969410302,0.9089722969410302
English,24,9,7,1,2,2.0248652547376738e-13,0.7631945340668391,0.7631945340668391
English,1,31,7,1,1,2.2046741784808295e-13,0.8613128078720825,0.8613128078720825
English,39,31,7,0,1,2.42887069921788e-13,0.8865871860256705,0.8865871860256705
English,4,29,7,1,1,2.471296350480359e-13,0.9123871342749772,0.9123871342749772
English,2,38,7,1,1,2.537306830364523e-13,0.9016572576751792,0.9016572576751792
English,2,43,7,1,1,2.770438062238233e-13,0.9101147992063052,0.9101147992063052
English,10,29,7,0,1,2.853179219946514e-13,0.8945208814391524,0.8945208814391524
English,37,9,7,1,1,3.0562561953956735e-13,0.8535499230603592,0.8535499230603592
English,22,13,7,1,1,3.25237485698345e-13,0.8941365198162357,0.8941365198162357
English,26,27,7,1,1,3.5162683395988597e-13,0.9039992052606296,0.9039992052606296
English,33,29,7,1,1,4.0816191139653964e-13,0.8254530822586879,0.8254530822586879
English,25,4,7,2,2,4.09027543417124e-13,0.8834004540358251,0.8834004540358251
English,30,44,5,1,1,4.163195852662403e-13,0.8790994724645619,0.8790994724645619
English,19,27,2,1,1,4.166800081792999e-13,0.8731714902975861,0.8731714902975861
English,22,33,7,1,1,4.225787437011274e-13,0.875260628434016,0.875260628434016
English,17,9,7,1,2,4.756033772154858e-13,0.8213296629240193,0.8213296629240193
English,32,29,7,2,2,4.930040453890503e-13,0.8147133020576494,0.8147133020576494
English,26,50,7,1,1,5.085723465792391e-13,0.8646478570936773,0.8646478570936773
English,3,14,7,1,1,5.116697576939848e-13,0.8914101096867404,0.8914101096867404
English,10,45,5,1,1,5.256243333848536e-13,0.8846698969242945,0.8846698969242945
English,47,9,6,1,3,5.318582511512419e-13,0.8422673496132367,0.8422673496132367
English,31,27,7,1,1,5.757447480879488e-13,0.8546190265932341,0.8546190265932341
English,13,11,7,1,1,5.963378569132987e-13,0.894894089553397,0.894894089553397
English,32,28,7,2,2,6.554825884808988e-13,0.8504575075128185,0.8504575075128185
English,2,26,7,1,1,6.728136705070192e-13,0.9285329067085056,0.9285329067085056
English,14,29,6,1,1,7.00085810172804e-13,0.8815046791688416,0.8815046791688416
English,2,45,7,1,1,9.570887156275672e-13,0.8477675229171479,0.8477675229171479
English,10,26,5,0,1,1.0562208742063848e-12,0.9019702049318462,0.9019702049318462
English,3,13,7,1,1,1.1304864661168462e-12,0.8738202524573851,0.8738202524573851
English,28,12,7,1,1,1.1769477230352637e-12,0.8981756496078425,0.8981756496078425
English,7,38,7,1,1,1.2100361284737352e-12,0.8996269815841291,0.8996269815841291
English,25,44,6,2,2,1.3240918392723784e-12,0.8911692299366982,0.8911692299366982
English,1,27,6,1,1,1.3325690582022304e-12,0.9031361166580816,0.9031361166580816
English,28,9,6,1,1,1.3752683480503029e-12,0.8104947017610167,0.8104947017610167
English,43,45,3,1,1,1.3940536143142857e-12,0.8891692055203212,0.8891692055203212
English,3,45,4,1,1,1.4614649909666889e-12,0.8409752929664447,0.8409752929664447
English,29,9,7,1,2,1.538503557060854e-12,0.8123330065921487,0.8123330065921487
English,11,31,7,1,2,1.5907805579179137e-12,0.8220629964358798,0.8220629964358798
English,23,13,7,1,1,1.7242169388143245e-12,0.8575867824271528,0.8575867824271528
English,7,41,7,1,1,1.997707987436818e-12,0.9305314607371364,0.9305314607371364
English,15,5,7,1,1,2.0303118198189287e-12,0.7343497944167972,0.7343497944167972
English,23,31,7,1,1,2.0803130239320426e-12,0.8761621486532525,0.8761621486532525
English,32,30,7,2,2,2.209453386145207e-12,0.8263713099168322,0.8263713099168322
English,45,9,7,1,3,2.434845637624041e-12,0.7914192040237865,0.7914192040237865
English,50,9,6,1,2,2.583981521829517e-12,0.7360836818935536,0.7360836818935536
English,30,12,6,1,1,2.589630706558484e-12,0.9065060790269506,0.9065060790269506
English,43,27,7,1,1,2.639974770729424e-12,0.908540017383009,0.908540017383009
English,13,29,7,1,1,2.7028711038633672e-12,0.869230218513685,0.869230218513685
English,28,29,6,0,1,2.7883282280977977e-12,0.891275253226513,0.891275253226513
English,39,11,6,1,1,2.8651431665656984e-12,0.9185221305454246,0.9185221305454246
English,43,50,7,1,1,2.964699819449088e-12,0.8616053326592829,0.8616053326592829
English,47,12,7,1,1,3.0538717133003958e-12,0.8514009654788701,0.8514009654788701
English,3,26,5,1,1,3.1088315204661656e-12,0.9168209866741048,0.9168209866741048
English,2,27,6,1,1,3.240102833196953e-12,0.8942770793999532,0.8942770793999532
English,28,41,5,1,1,3.3360201246429026e-12,0.9246390136103488,0.9246390136103488
English,22,9,7,1,1,3.601238756965896e-12,0.7879884648836382,0.7879884648836382
English,31,49,7,2,1,3.692157097691064e-12,0.7578332929331689,0.7578332929331689
English,16,9,7,1,3,3.877189307897031e-12,0.7562634644701149,0.7562634644701149
English,10,41,7,1,1,4.125253347528836e-12,0.908948862195622,0.908948862195622
English,34,37,7,1,1,4.240168064630138e-12,0.8879643934785257,0.8879643934785257
English,47,29,6,1,1,4.371563980353978e-12,0.8787719209565286,0.8787719209565286
English,15,11,7,1,1,4.552509673691981e-12,0.7307041272087801,0.7307041272087801
English,34,50,7,1,1,4.562473365863351e-12,0.8045066979969795,0.8045066979969795
English,35,27,1,1,1,4.673588420238618e-12,0.8858471011408245,0.8858471011408245
English,15,38,5,1,1,5.3641880187683844e-12,0.7078465109630838,0.7078465109630838
English,39,29,7,0,1,5.856870391609415e-12,0.8956359695216984,0.8956359695216984
English,32,42,7,2,2,6.300894703479182e-12,0.8480220545672902,0.8480220545672902
English,24,31,7,1,1,6.639735029871114e-12,0.8694554177560739,0.8694554177560739
English,14,44,7,1,1,7.021189695927492e-12,0.8724971633065267,0.8724971633065267
English,2,37,7,1,1,7.122472278554689e-12,0.8954800769328402,0.8954800769328402
English,37,13,7,1,1,7.610089185041122e-12,0.8261138708343057,0.8261138708343057
English,16,25,6,2,1,7.64460045738202e-12,0.8573070764411035,0.8573070764411035
English,45,31,7,1,2,7.801875861930499e-12,0.8319717038977114,0.8319717038977114
English,39,45,4,1,1,7.898358812985366e-12,0.8568420486846281,0.8568420486846281
English,25,1,7,2,2,8.150071428127751e-12,0.8714910073684977,0.8714910073684977
English,32,3,7,2,2,8.453322387930308e-12,0.879218458082043,0.879218458082043
English,2,40,6,1,1,9.181765728689815e-12,0.8724557476222037,0.8724557476222037
English,32,22,6,2,2,9.374363047966711e-12,0.8536128287313911,0.8536128287313911
English,48,9,7,1,1,9.465585560578519e-12,0.806729628984253,0.806729628984253
English,45,50,6,1,1,9.699230833773833e-12,0.8335041747102738,0.8335041747102738
English,43,47,7,1,1,1.0189484159471852e-11,0.819569898521512,0.819569898521512
English,6,38,5,1,1,1.074363929796274e-11,0.8998050349149094,0.8998050349149094
English,34,9,6,1,2,1.1026125279913818e-11,0.8316789015849344,0.8316789015849344
English,22,32,6,2,1,1.3115021423022828e-11,0.8998619820707207,0.8998619820707207
English,44,9,7,1,1,1.313106675725702e-11,0.767993447090641,0.767993447090641
English,25,50,7,2,2,1.3175594441034292e-11,0.8005157055203035,0.8005157055203035
English,26,12,7,1,1,1.3279502219650551e-11,0.9098728521515064,0.9098728521515064
English,46,9,6,1,1,1.3388691734828195e-11,0.7662746756463585,0.7662746756463585
English,25,29,7,2,2,1.35776696396913e-11,0.8260553547262394,0.8260553547262394
English,26,44,7,1,1,1.3613979299689932e-11,0.9376891288856112,0.9376891288856112
English,15,26,7,0,1,1.3999577101749902e-11,0.7358256223399751,0.7358256223399751
English,9,49,6,2,4,1.459195992845691e-11,0.7440102165907448,0.7440102165907448
English,7,47,7,1,1,1.5387059636139415e-11,0.7956706729265123,0.7956706729265123
English,7,12,7,1,1,1.5849292836806953e-11,0.9182748683306556,0.9182748683306556
English,47,49,7,2,1,1.6113412865935457e-11,0.7650710831823976,0.7650710831823976
English,43,11,7,1,1,1.6895074565756453e-11,0.9253157367896456,0.9253157367896456
English,25,35,7,2,2,1.7255081916139378e-11,0.8497329165580302,0.8497329165580302
English,12,13,7,1,1,1.7448501233728037e-11,0.8651021314338536,0.8651021314338536
English,30,50,7,1,1,1.8938604379301725e-11,0.834735199213666,0.834735199213666
English,22,31,7,1,1,2.010596192070746e-11,0.8662969711108148,0.8662969711108148
English,7,10,5,1,1,2.107152910501853e-11,0.861355422885982,0.861355422885982
English,39,47,7,1,1,2.193990638975576e-11,0.777182256987534,0.777182256987534
English,13,41,4,1,1,2.2796242260262932e-11,0.9226308422299064,0.9226308422299064
English,10,33,6,1,1,2.3184154875948278e-11,0.8386307069060085,0.8386307069060085
English,22,25,6,2,1,2.3395510373632204e-11,0.8415647159068546,0.8415647159068546
English,30,37,4,1,1,2.4404048306201863e-11,0.9142736183508512,0.9142736183508512
English,2,23,7,1,1,2.573067625070492e-11,0.8476528530232573,0.8476528530232573
English,10,11,7,1,1,2.6032133460878235e-11,0.9004532294291561,0.9004532294291561
English,42,9,7,1,1,2.7117136182104222e-11,0.7675130268066829,0.7675130268066829
English,32,19,7,2,1,2.7772899798664263e-11,0.8463624216046794,0.8463624216046794
English,2,19,6,1,1,2.901567537475076e-11,0.90919858493157,0.90919858493157
English,14,27,7,1,1,2.907863946624957e-11,0.8904847346340473,0.8904847346340473
English,25,3,7,2,2,2.9632774031389905e-11,0.8884506185490464,0.8884506185490464
English,2,16,7,1,1,3.0417953377623825e-11,0.9010708627282328,0.9010708627282328
English,32,40,5,2,2,3.297830373677282e-11,0.8097491213338653,0.8097491213338653
English,26,49,7,2,1,3.976308593746978e-11,0.8626408368947384,0.8626408368947384
English,49,9,6,2,1,4.4086232646761046e-11,0.732173950474599,0.732173950474599
English,47,27,5,1,1,4.41016118373905e-11,0.8210089663298269,0.8210089663298269
English,1,41,7,1,1,4.500580951466596e-11,0.9307317288036444,0.9307317288036444
English,32,10,6,2,1,4.5169613519367714e-11,0.7673331148304072,0.7673331148304072
English,32,35,7,2,2,4.531657322298307e-11,0.806177213611148,0.806177213611148
English,12,43,7,1,1,4.5562158424332016e-11,0.8712996393872545,0.8712996393872545
English,43,33,7,1,1,5.012070976688231e-11,0.8312851325495663,0.8312851325495663
English,3,29,7,1,1,5.037703471939538e-11,0.8899461016235075,0.8899461016235075
English,24,33,7,1,1,5.065280663038029e-11,0.8662968836297295,0.8662968836297295
English,5,12,6,1,1,5.1485412879413646e-11,0.8921768852909346,0.8921768852909346
English,32,26,7,2,2,5.452738344303165e-11,0.8863377281909574,0.8863377281909574
English,34,31,7,1,2,5.48777642864736e-11,0.860672853568048,0.860672853568048
