language,V1,total_occurrence,active_days,Code,Industry,ISIC_Rev4,ISIC Rev. 4 description
Chinese,1,361.4102895,113,A01,Agriculture and hunting,1,"01 - Crop and animal production, hunting and related service activities"
Chinese,2,447.7746318,113,A02,Forestry and logging,2,02 - Forestry and logging
Chinese,3,258.36183029,113,A03,Fishing and aquaculture,3,03 - Fishing and aquaculture
Chinese,4,124.80973956,113,B05,Mining of coal and lignite,5,05 - Mining of coal and lignite
Chinese,5,490.04443534,113,B06,Extraction of crude petroleum and natural gas,6,06 - Extraction of crude petroleum and natural gas
Chinese,6,161.77604198999998,113,B07,Mining of metal ores,7,07 - Mining of metal ores
Chinese,7,161.066083,113,B08,Other mining and quarrying,8,08 - Other mining and quarrying
Chinese,8,350.28387008000004,113,B09,Mining support service activities,9,09 - Mining support service activities
Chinese,9,680.2818274900001,114,C10T12,Manufacture of food products; beverages and tobacco products,"10, 11, 12",10 - Manufacture of food products | 11 - Manufacture of beverages | 12 - Manufacture of tobacco products
Chinese,10,556.9293006799999,113,C13T15,"Manufacture of textiles, wearing apparel, leather and related products","13, 14, 15",13 - Manufacture of textiles | 14 - Manufacture of wearing apparel | 15 - Manufacture of leather and related products
Chinese,11,245.07979333,113,C16,Manufacture of wood and of products of wood and cork,16,"16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
Chinese,12,832.7600995299999,114,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media,"17, 18",17 - Manufacture of paper and paper products | 18 - Printing and reproduction of recorded media
Chinese,13,231.53863187,113,C19,Manufacture of coke and refined petroleum products,19,19 - Manufacture of coke and refined petroleum products
Chinese,14,274.42779746,114,C20,Manufacture of chemicals and chemical products,20,20 - Manufacture of chemicals and chemical products
Chinese,15,234.53441589,114,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
Chinese,16,233.39054853,113,C22,Manufacture of rubber and plastic products,22,22 - Manufacture of rubber and plastics products
Chinese,17,304.20958523,113,C23,Manufacture of other non-metallic mineral products,23,23 - Manufacture of other non-metallic mineral products
Chinese,18,136.4998294,113,C24A,Manufacture of basic iron and steel,"241, 2431",241 - Manufacture of basic iron and steel | 2431 - Casting of iron and steel
Chinese,19,203.84658819,113,C24B,Manufacture of basic precious and other non-ferrous metals,"242, 2432",242 - Manufacture of basic precious and other non-ferrous metals | 2432 - Casting of non-ferrous metals
Chinese,20,313.55450084000006,114,C25,Manufacture of fabricated metal products,25,"25 - Manufacture of fabricated metal products, except machinery and equipment"
Chinese,21,270.45867624000005,113,C26,"Manufacture of computer, electronic and optical products",26,"26 - Manufacture of computer, electronic and optical products"
Chinese,22,208.42484868000005,114,C27,Manufacture of electrical equipment,27,27 - Manufacture of electrical equipment
Chinese,23,346.16116587000005,114,C28,Manufacture of machinery and equipment n.e.c. ,28,28 - Manufacture of machinery and equipment n.e.c.
Chinese,24,188.06792673,113,C29,"Manufacture of motor vehicles, trailers and semi-trailers",29,"29 - Manufacture of motor vehicles, trailers and semi-trailers"
Chinese,25,450.7451300300001,113,C301,Building of ships and boats,301,301 - Building of ships and boats
Chinese,26,863.31274407,114,C302T309,Manufacture of other transport equipment,302 to 309,302 - Manufacture of railway locomotives and rolling stock | 303 - Manufacture of air and spacecraft and related machinery | 304 - Manufacture of military fighting vehicles | 309 - Manufacture of transport equipment n.e.c.
Chinese,27,287.26402448,114,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,"31, 32, 33",31 - Manufacture of furniture | 32 - Other manufacturing | 33 - Repair and installation of machinery and equipment
