source,published_at,provider,publisher_location,url,id,war_related,type_risk,negativity,risk_order,llm_confidence,IO_V1_1,IO_V1_2,IO_V1_3,IO_V1_4,IO_V1_5,IO_V1_6,IO_V1_7,IO_V1_8,IO_V1_9,IO_V1_10,IO_V1_11,IO_V1_12,IO_V1_13,IO_V1_14,IO_V1_15,IO_V1_16,IO_V1_17,IO_V1_18,IO_V1_19,IO_V1_20,IO_V1_21,IO_V1_22,IO_V1_23,IO_V1_24,IO_V1_25,IO_V1_26,IO_V1_27,IO_V1_28,IO_V1_29,IO_V1_30,IO_V1_31,IO_V1_32,IO_V1_33,IO_V1_34,IO_V1_35,IO_V1_36,IO_V1_37,IO_V1_38,IO_V1_39,IO_V1_40,IO_V1_41,IO_V1_42,IO_V1_43,IO_V1_44,IO_V1_45,IO_V1_46,IO_V1_47,IO_V1_48,IO_V1_49,IO_V1_50
gdelt,01/01/2026 01:00,balatarin.com,US,https://www.balatarin.com:443/permlink/2025/12/31/6418935,535aec93c4a73307,1,Military,0,,0.99,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 01:15,parsi.euronews.com,,https://parsi.euronews.com/2026/01/01/tehran-tank-man-photo-fact-check-iran-protests-2025-symbol-analysis,b54c5ac3abdfb28e,1,Military,0.032,,0.99,0.0,0.0,0.0,0.0,0.13933962,0.0,0.0,0.0,0.0,0.0,0.0,0.30131282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15799433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497646,0.0,0.0,0.05652856,0.0,0.0,0.03011063,0.17267279,0.0,0.0570648,0.0,0.0,0.0
gdelt,01/01/2026 02:45,parsi.euronews.com,,https://parsi.euronews.com/2026/01/01/basij-member-killed-iran-protests-tehran-crackdown-risk-analysis-2026,655d366ab85dd65c,1,Military,0.469,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13171214,0.0,0.08152969,0.0,0.0,0.0,0.26541175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555453,0.0,0.06358604,0.02103665,0.30144231,0.0,0.07973612,0.0,0.0,0.0
gdelt,01/01/2026 05:00,parsi.euronews.com,,https://parsi.euronews.com/2026/01/01/former-trump-official-warns-iran-strike-benefits-regime-2026-protests,214deba52b948646,1,Diplomatic,0.398,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47229818,0.0,0.0,0.0,0.0,0.52770182,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 05:30,etelaabama.ir,Iran,https://www.etelaabama.ir/%D8%A7%D9%81%D8%B2%D8%A7%DB%8C%D8%B4-%D8%AF%D9%85%D8%A7-%D8%AF%D8%B1-%D8%A8%DB%8C%D8%B4%D8%AA%D8%B1-%D9%85%D9%86%D8%A7%D8%B7%D9%82-%DA%A9%D8%B4%D9%88%D8%B1/252298/,e837e58bec47b43f,1,Military,0,,0.99,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
gdelt,01/01/2026 05:30,etelaabama.ir,Iran,https://www.etelaabama.ir/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%B3%D9%BE%D8%A7%D9%87-%D8%AF%D8%B1-%D9%BE%DB%8C-%D9%86%D8%A7%D8%A2%D8%B1%D8%A7%D9%85%DB%8C%D9%87%D8%A7%DB%8C-%DA%A9%D9%88%D9%87%D8%AF%D8%B4%D8%AA/252301/,25462d0ddcf851b9,1,Military,0,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 05:45,mehrnews.com,Iran,https://www.mehrnews.com/news/6709230/%D8%B4%D9%87%DB%8C%D8%AF%DB%8C-%DA%A9%D9%87-%D8%B5%D8%AF%D8%A7%D9%85-%D9%86%D8%AA%D9%88%D8%A7%D9%86%D8%B3%D8%AA-%D9%BE%DB%8C%DA%A9%D8%B1%D8%B4-%D8%B1%D8%A7-%D9%86%D8%A7%D8%A8%D9%88%D8%AF-%DA%A9%D9%86%D8%AF,d422efa4d8d721e4,1,Military,0.181,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 06:00,bbc.com,UK,https://www.bbc.com/persian/live/cvgne2qpe8zt,86dc4109b0fb5b5b,1,Military,0.211,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11549896,0.0,0.24483177,0.0,0.35280443,0.0,0.28686484,0.0,0.0,0.0
gdelt,01/01/2026 06:15,kar-online.com,,https://kar-online.com/110175/,c069554f419db479,1,Economic,0.257,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gdelt,01/01/2026 06:15,kar-online.com,,https://kar-online.com/110168/,c80c81746ea47918,1,Economic,0.226,second_order,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
