orig_index,low_evidence,IO_V1_1,IO_V1_2,IO_V1_3,IO_V1_4,IO_V1_5,IO_V1_6,IO_V1_7,IO_V1_8,IO_V1_9,IO_V1_10,IO_V1_11,IO_V1_12,IO_V1_13,IO_V1_14,IO_V1_15,IO_V1_16,IO_V1_17,IO_V1_18,IO_V1_19,IO_V1_20,IO_V1_21,IO_V1_22,IO_V1_23,IO_V1_24,IO_V1_25,IO_V1_26,IO_V1_27,IO_V1_28,IO_V1_29,IO_V1_30,IO_V1_31,IO_V1_32,IO_V1_33,IO_V1_34,IO_V1_35,IO_V1_36,IO_V1_37,IO_V1_38,IO_V1_39,IO_V1_40,IO_V1_41,IO_V1_42,IO_V1_43,IO_V1_44,IO_V1_45,IO_V1_46,IO_V1_47,IO_V1_48,IO_V1_49,IO_V1_50
0,False,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2,False,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.3797468354430379,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012,0.0126582278481012
3,False,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.5319148936170213,0.0,0.0,0.0,0.0,0.0
4,False,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
5,False,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,False,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.505050505050505,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101
8,False,0.08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0
9,False,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.3061224489795918,0.010204081632653,0.010204081632653,0.010204081632653,0.2040816326530612,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653
