language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
arabic,1,2,2,1,2,0.9538347699567966,-0.06428439770914192,0.06428439770914192,False
arabic,1,3,6,0,6,6.15243741885247e-05,0.49394728742891186,0.49394728742891186,True
arabic,1,4,1,0,7,0.38955508040709164,0.0769800181478111,0.0769800181478111,False
arabic,1,5,1,0,6,0.41784474267479854,-0.11025219453546403,0.11025219453546403,False
arabic,1,6,1,0,7,0.0592148214455556,0.24382944085451422,0.24382944085451422,False
arabic,1,7,1,0,5,0.018327600712347087,0.03990251793377398,0.03990251793377398,False
arabic,1,8,1,0,1,0.011814847694497055,0.25686036539826895,0.25686036539826895,False
arabic,1,9,1,0,2,0.954059027196345,0.1050565247030402,0.1050565247030402,False
arabic,1,10,1,0,2,0.5372809654571392,-0.1446618293727506,0.1446618293727506,False
arabic,1,11,1,0,7,0.7265839105543235,0.2814327153069404,0.2814327153069404,False
arabic,1,12,1,0,5,0.7613049637577398,0.1048046173116393,0.1048046173116393,False
arabic,1,13,1,0,7,0.6593418725086253,0.07633637224543877,0.07633637224543877,False
arabic,1,14,1,0,1,0.1849220422205362,-0.16818308587625122,0.16818308587625122,False
arabic,1,15,1,0,6,0.6137668499034452,0.060533223343339375,0.060533223343339375,False
arabic,1,16,1,0,5,0.371518986280041,-0.09010459388774725,0.09010459388774725,False
arabic,1,17,1,0,7,0.02989803852926427,0.09520014335066805,0.09520014335066805,False
arabic,1,18,1,0,6,0.4876820558845023,-0.0862774544021969,0.0862774544021969,False
arabic,1,19,2,0,7,0.35269270588763435,0.29362096610694577,0.29362096610694577,False
arabic,1,20,4,0,4,0.48273635334733944,0.13327226253341928,0.13327226253341928,False
arabic,1,21,2,0,6,0.8969532506643023,0.13069511062310216,0.13069511062310216,False
arabic,1,22,1,0,6,0.7295503960820844,-0.07015496512409691,0.07015496512409691,False
arabic,1,23,2,1,1,0.7125096718726481,-0.17634144135492583,0.17634144135492583,False
arabic,1,24,1,0,6,0.8758616312095343,-0.054338873174182074,0.054338873174182074,False
arabic,1,25,1,0,7,0.7892934405106167,-0.15771161179704044,0.15771161179704044,False
arabic,1,26,1,0,7,0.9483676995911684,-0.10218687986624936,0.10218687986624936,False
arabic,1,27,1,0,1,0.4364031694564856,0.08255046145146562,0.08255046145146562,False
arabic,1,28,1,0,7,0.7271115372726117,-0.1858984043223775,0.1858984043223775,False
arabic,1,29,1,0,1,0.06402436773241815,0.147304311756625,0.147304311756625,False
arabic,1,30,1,0,7,0.3519555385241754,0.14430241556202195,0.14430241556202195,False
arabic,1,31,1,0,2,0.84754825978193,0.16970989165870431,0.16970989165870431,False
arabic,1,32,2,1,4,0.9079447873345439,-0.1822550134710407,0.1822550134710407,False
arabic,1,33,1,0,7,0.26239455762129277,-0.18043776651358104,0.18043776651358104,False
arabic,1,34,1,1,7,0.17206590378967704,-0.2088338646900733,0.2088338646900733,False
arabic,1,35,1,0,7,0.010593713394772896,0.23776067447536808,0.23776067447536808,False
arabic,1,36,1,0,4,0.7546181771672813,0.11372441671108331,0.11372441671108331,False
arabic,1,37,1,0,7,0.6203686560346995,-0.08398462931981009,0.08398462931981009,False
arabic,1,38,1,0,7,0.9216525345303443,0.22077034730411982,0.22077034730411982,False
arabic,1,39,1,0,1,0.4835680749266321,-0.06270567628983596,0.06270567628983596,False
arabic,1,40,1,0,7,0.9376884395334647,0.27095466062425705,0.27095466062425705,False
arabic,1,41,3,0,2,0.008217792633848819,0.2973861931540397,0.2973861931540397,False
arabic,1,42,1,0,4,0.9433865086179597,-0.11534571545685754,0.11534571545685754,False
arabic,1,43,1,0,1,0.44472729157741175,0.07386641045422665,0.07386641045422665,False
arabic,1,44,1,0,4,0.29958009311615547,-0.08534129494641472,0.08534129494641472,False
