language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
chinese,1,2,3,1,2,0.8215700408211208,-0.07084516436267443,0.07084516436267443,False
chinese,1,3,3,1,6,0.5692010713660882,-0.32990208084720146,0.32990208084720146,False
chinese,1,4,3,0,3,0.22519097596771878,0.18698152545876098,0.18698152545876098,False
chinese,1,5,3,0,7,0.5143282168074115,-0.1806442398785242,0.1806442398785242,False
chinese,1,6,3,0,3,0.5222504191836597,-0.08285357921596741,0.08285357921596741,False
chinese,1,7,3,0,6,0.9943021627347927,0.06591345061476088,0.06591345061476088,False
chinese,1,8,3,0,7,0.2273321489279458,0.1706071509875583,0.1706071509875583,False
chinese,1,9,4,0,7,0.48547215807009314,0.13568271827392916,0.13568271827392916,False
chinese,1,10,4,0,1,0.2690726218986867,-0.10580191498088679,0.10580191498088679,False
chinese,1,11,3,0,6,0.9391624842864584,0.0688778611488587,0.0688778611488587,False
chinese,1,12,3,0,4,0.9640510569104531,-0.18324185798595594,0.18324185798595594,False
chinese,1,13,3,0,2,0.27480616233955313,-0.1026904548662428,0.1026904548662428,False
chinese,1,14,4,0,3,0.0706312415152608,-0.11328293658041094,0.11328293658041094,False
chinese,1,15,3,0,1,0.7588431562082983,-0.09340590886040165,0.09340590886040165,False
chinese,1,16,3,0,1,0.8235180444785795,-0.12324981962880616,0.12324981962880616,False
chinese,1,17,3,0,3,0.46925116540437906,-0.14635802267755782,0.14635802267755782,False
chinese,1,18,3,0,3,0.034986983862375975,0.281402195739466,0.281402195739466,False
chinese,1,19,3,1,5,0.07681887514290284,0.2797789477988346,0.2797789477988346,False
chinese,1,20,4,1,7,0.2098315136560063,0.2760700965331692,0.2760700965331692,False
chinese,1,21,3,0,3,0.8914077775865407,-0.08825409068187548,0.08825409068187548,False
chinese,1,22,3,0,1,0.2254982101033219,0.11177579433117198,0.11177579433117198,False
chinese,1,23,3,0,7,0.48788239379569454,-0.2736745446671653,0.2736745446671653,False
chinese,1,24,4,0,1,0.3374849751383584,0.08076711493591546,0.08076711493591546,False
chinese,1,25,3,0,2,0.35517562161731,-0.3864368311601975,0.3864368311601975,False
chinese,1,26,4,1,7,0.5093184746485098,-0.30186715105180706,0.30186715105180706,False
chinese,1,27,4,0,4,0.7683460809282994,0.15363304767113756,0.15363304767113756,False
chinese,1,28,5,0,6,0.1795284528823729,-0.3401309519208352,0.3401309519208352,False
chinese,1,29,4,0,2,0.6657404723045519,-0.1453019085223276,0.1453019085223276,False
chinese,1,30,3,0,2,0.020534115512964954,0.3796018405864187,0.3796018405864187,False
chinese,1,31,6,1,7,0.3606036700436461,0.340234701479426,0.340234701479426,False
