language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
english,1,2,1,0,6,0.23881913196252708,0.14738978719595108,0.14738978719595108,False
english,1,3,1,0,4,0.43583786554864623,0.09587081506107924,0.09587081506107924,False
english,1,4,2,0,2,0.41508218508570005,0.10465521549669715,0.10465521549669715,False
english,1,5,1,0,4,0.3198431453133933,0.12313532335175716,0.12313532335175716,False
english,1,6,1,0,2,0.2707473143256417,0.1565195507253706,0.1565195507253706,False
english,1,7,3,0,2,0.009184668674788064,0.3066099465380144,0.3066099465380144,False
english,1,8,5,0,3,0.004429732316952812,0.15081444167308944,0.15081444167308944,False
english,1,9,1,0,4,0.717486867027568,0.13702462024093098,0.13702462024093098,False
english,1,10,1,0,2,0.6938073449487491,-0.09512024056719637,0.09512024056719637,False
english,1,11,1,0,3,0.774334478924867,0.14811558806250974,0.14811558806250974,False
english,1,12,1,0,4,0.5616615375970158,0.25953781000344056,0.25953781000344056,False
english,1,13,1,0,4,0.629182070529763,-0.0933529476577128,0.0933529476577128,False
english,1,14,1,0,6,0.8715831384255167,0.17019463203468194,0.17019463203468194,False
english,1,15,1,0,6,0.2047711797291785,0.16871942309405266,0.16871942309405266,False
english,1,16,1,0,6,0.8908762011519914,0.27262104033538265,0.27262104033538265,False
english,1,17,1,0,2,0.40205140940063333,0.10955278793849661,0.10955278793849661,False
english,1,18,1,0,5,0.8447501564505993,-0.20597067444873593,0.20597067444873593,False
english,1,19,1,0,6,0.610636862804887,-0.054435032124713706,0.054435032124713706,False
english,1,20,1,1,3,0.7273781249653821,0.12340095881417724,0.12340095881417724,False
english,1,21,1,0,5,0.7640308974810499,0.15934481328029274,0.15934481328029274,False
english,1,22,1,0,7,0.5705851431860821,0.1651170196036918,0.1651170196036918,False
english,1,23,1,0,2,0.8489600651200371,0.11237257286535804,0.11237257286535804,False
english,1,24,1,0,2,0.3786556934773134,-0.1655285406079132,0.1655285406079132,False
english,1,25,1,1,3,0.9555067616749308,-0.17842066720859678,0.17842066720859678,False
english,1,26,1,0,3,0.21594982285310219,-0.11373615761816322,0.11373615761816322,False
english,1,27,1,0,5,0.6768452549165549,-0.2008388275141593,0.2008388275141593,False
english,1,28,2,1,3,0.40063970481615574,0.11539188695979487,0.11539188695979487,False
english,1,29,1,0,4,0.384624243951897,-0.18569070588206368,0.18569070588206368,False
english,1,30,1,0,4,0.41490326218618556,0.1276282462686068,0.1276282462686068,False
english,1,31,1,0,5,0.7733744677844577,-0.12646697300707105,0.12646697300707105,False
english,1,32,1,0,1,0.5882448667196778,-0.08441653062979851,0.08441653062979851,False
english,1,33,1,0,2,0.8409782782212926,0.18173697527228833,0.18173697527228833,False
english,1,34,1,0,6,0.19383516023813288,-0.12171469226835883,0.12171469226835883,False
english,1,35,3,0,7,0.019808221553691916,-0.16762013277895035,0.16762013277895035,False
english,1,36,7,0,5,0.5998763185873923,-0.1031469219845648,0.1031469219845648,False
english,1,37,1,0,1,0.2578488313007097,0.15842842756271214,0.15842842756271214,False
english,1,38,2,0,4,0.9314617881513665,0.039008261403961686,0.039008261403961686,False
english,1,39,1,1,1,0.45375398034628034,-0.19464649504511652,0.19464649504511652,False
english,1,40,1,0,3,0.10531612269187533,-0.18637970462498527,0.18637970462498527,False
english,1,41,2,0,7,0.2764704602295151,-0.1367112197357718,0.1367112197357718,False
english,1,42,1,0,3,0.41624895775064863,0.11619129418061258,0.11619129418061258,False
english,1,43,2,0,7,0.9604767712256621,0.13723565381377442,0.13723565381377442,False
english,1,44,1,0,6,0.2121427107850701,-0.17396998066968689,0.17396998066968689,False
english,1,45,1,0,2,0.003539606928787229,-0.1719177356728119,0.1719177356728119,False
english,1,46,1,0,5,0.4062527574800653,-0.14470889942172593,0.14470889942172593,False
english,1,47,1,0,2,0.5892310107610126,-0.18836190753860385,0.18836190753860385,False
english,1,48,1,0,2,0.3127341615191774,0.18661912504243927,0.18661912504243927,False
english,1,49,1,0,4,0.9597534696447905,-0.15643060703975697,0.15643060703975697,False
english,1,50,1,0,4,0.882494757226421,-0.16651065010992727,0.16651065010992727,False
english,2,1,1,0,6,0.9832202628040685,0.2148450552582996,0.2148450552582996,False
english,2,3,1,0,6,0.5639724061453566,0.1358235141328667,0.1358235141328667,False
english,2,4,2,0,2,0.009971376532312302,0.2995158228096631,0.2995158228096631,False
english,2,5,1,0,7,0.6516515332999941,0.13760707775690756,0.13760707775690756,False
english,2,6,1,0,7,0.3157853837307988,0.147024672348934,0.147024672348934,False
english,2,7,1,0,5,0.35140368574008074,0.1386725217710266,0.1386725217710266,False
english,2,8,1,0,3,0.21928503451050355,0.15191721968119096,0.15191721968119096,False
english,2,9,1,0,1,0.027865854661681774,0.22417159330849043,0.22417159330849043,False
english,2,10,2,0,4,0.5571394010328083,-0.1672120398215991,0.1672120398215991,False
english,2,11,1,0,5,0.36767217852139933,0.20028672577455123,0.20028672577455123,False
english,2,12,1,0,1,0.08695727413590751,0.16454374169234526,0.16454374169234526,False
english,2,13,1,0,6,0.6970489182421831,0.2844944930729651,0.2844944930729651,False
english,2,14,1,0,7,0.11180453024457147,0.16171724225315737,0.16171724225315737,False
english,2,15,1,0,7,0.548158737121624,-0.11886916492118983,0.11886916492118983,False
english,2,16,1,0,5,0.47618844278689243,-0.15595066947312075,0.15595066947312075,False
english,2,17,1,0,7,0.7081837519702071,0.27905366860569375,0.27905366860569375,False
english,2,18,1,0,5,0.9480680534064145,0.315592812707263,0.315592812707263,False
english,2,19,1,0,5,0.46278714810705446,0.2953982214616832,0.2953982214616832,False
english,2,20,7,1,7,0.003298963965918,0.4677333366057276,0.4677333366057276,False
