language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
chinese,1,2,2,0,2,0.3329462431843369,0.2679724954063058,0.2679724954063058,False
chinese,1,3,2,0,1,0.3069185332491794,0.2583349277639844,0.2583349277639844,False
chinese,1,4,2,0,1,0.32645071190862374,0.268669609330207,0.268669609330207,False
chinese,1,5,3,1,7,0.9847272665214801,-0.18494781066144672,0.18494781066144672,False
chinese,1,6,4,1,4,0.0003702869268321576,0.4146134466264228,0.4146134466264228,True
chinese,1,7,2,0,2,0.25660575524100326,0.273302898496001,0.273302898496001,False
chinese,1,8,2,0,2,0.4077679984237472,0.24680384066733238,0.24680384066733238,False
chinese,1,9,5,0,2,0.001056221825088594,0.576867919800498,0.576867919800498,False
chinese,1,10,2,0,2,0.29397909112968895,0.16805980133741397,0.16805980133741397,False
chinese,1,11,2,0,2,0.34728855468881886,0.2669217110705354,0.2669217110705354,False
chinese,1,12,7,0,3,0.0005544929490120127,0.3989784477268661,0.3989784477268661,True
chinese,1,13,5,1,6,0.666130805135939,-0.26636343768500054,0.26636343768500054,False
chinese,1,14,2,0,4,0.15253813811112937,0.3213293720603483,0.3213293720603483,False
chinese,1,15,2,0,7,0.07444112656776336,0.33604554090790345,0.33604554090790345,False
chinese,1,16,2,0,2,0.126279379535281,0.3181135126782902,0.3181135126782902,False
chinese,1,17,2,0,2,0.0643194389017381,0.33226367085052144,0.33226367085052144,False
chinese,1,18,2,0,2,0.1812828579302362,0.27200393191269917,0.27200393191269917,False
chinese,1,19,5,1,4,1.68972353167884e-05,0.34327144216558303,0.34327144216558303,True
chinese,1,20,2,0,2,0.13352710589452818,0.28279306048815295,0.28279306048815295,False
chinese,1,21,2,0,1,0.17909876215900705,0.2660215149519968,0.2660215149519968,False
chinese,1,22,2,0,2,0.09463247441776122,0.26958039490539026,0.26958039490539026,False
chinese,1,23,2,0,1,2.338555436309392e-05,0.4789930894256147,0.4789930894256147,True
chinese,1,24,6,1,1,0.05629227487870977,0.4413111427293295,0.4413111427293295,False
chinese,1,25,2,0,2,0.030905614340418955,-0.20950775000748634,0.20950775000748634,False
chinese,1,26,2,0,2,0.10740267865746311,-0.23223252771080571,0.23223252771080571,False
chinese,1,27,2,0,1,0.020763217908535258,0.35080744972972205,0.35080744972972205,False
chinese,1,28,3,1,3,0.7885984658964749,-0.26073219638185224,0.26073219638185224,False
chinese,1,29,2,0,2,0.43598562910101235,0.15576156410860523,0.15576156410860523,False
chinese,1,30,2,0,3,0.7277459216439235,-0.1313269298823286,0.1313269298823286,False
chinese,1,31,2,0,2,0.31233647451394525,0.3933192158650879,0.3933192158650879,False
chinese,1,32,2,0,1,0.1954198779805925,0.16233162630465844,0.16233162630465844,False
chinese,1,33,2,1,3,0.9049957959522703,-0.19980885501682885,0.19980885501682885,False
chinese,1,34,2,0,7,0.9627205073420321,0.14748920162401466,0.14748920162401466,False
chinese,1,35,2,1,6,0.5367901116933377,-0.21948480005974155,0.21948480005974155,False
chinese,1,36,2,0,2,0.4567553273538558,0.23718581247677328,0.23718581247677328,False
chinese,1,37,2,0,2,0.18454950477322146,0.2899951142990358,0.2899951142990358,False
chinese,1,38,2,0,1,0.29302546039579774,0.3362816221087636,0.3362816221087636,False
chinese,1,39,3,1,7,0.35363664030941305,0.27060998193640773,0.27060998193640773,False
chinese,1,40,6,0,7,0.5249162297588084,0.35674261367499077,0.35674261367499077,False
chinese,1,41,4,1,4,0.044894945456172196,0.40089234654805395,0.40089234654805395,False
chinese,1,42,2,0,1,0.6987101333200842,0.24358143780195235,0.24358143780195235,False
chinese,1,43,2,0,5,0.5664966325284706,0.3177741980180167,0.3177741980180167,False
chinese,1,44,2,0,1,0.5310651896091725,0.30107139402144084,0.30107139402144084,False
chinese,1,45,2,0,1,0.8950885242592621,-0.17600900723481908,0.17600900723481908,False
chinese,1,46,7,0,3,0.00012802739208694149,0.38873788449184865,0.38873788449184865,True
chinese,1,47,2,0,1,0.8635736044115546,0.09846933942998322,0.09846933942998322,False
chinese,1,48,3,0,7,0.12491943221523633,0.24525179615339665,0.24525179615339665,False
chinese,1,49,2,0,2,0.44897840118428145,0.22522874024124878,0.22522874024124878,False
chinese,1,50,2,0,1,0.14724355970422184,0.3247910062801461,0.3247910062801461,False
chinese,2,1,2,0,2,0.9839834120778072,0.2122910098646472,0.2122910098646472,False
chinese,2,3,1,0,1,0.5321778539287211,0.2875919044064067,0.2875919044064067,False
chinese,2,4,2,0,1,0.9796751020848138,0.31822850080809434,0.31822850080809434,False
chinese,2,5,6,1,1,0.07679413990503588,0.14482360083079807,0.14482360083079807,False
chinese,2,6,7,1,6,0.06343370873262003,0.20981520426682146,0.20981520426682146,False
chinese,2,7,1,0,1,0.7561394419278655,0.31773260096315914,0.31773260096315914,False
chinese,2,8,2,0,1,0.5095621814374385,0.3252356480038762,0.3252356480038762,False
chinese,2,9,2,0,2,0.6792479120097668,0.30464619914918867,0.30464619914918867,False
chinese,2,10,1,0,2,0.15502718926709635,0.22790454827071416,0.22790454827071416,False
chinese,2,11,2,0,1,0.9862508005313332,0.30945175616998044,0.30945175616998044,False
chinese,2,12,2,0,1,0.6320102036451754,0.2439318214743218,0.2439318214743218,False
chinese,2,13,3,1,2,0.20609976008950995,0.08525057579894288,0.08525057579894288,False
chinese,2,14,2,0,4,0.3875970335563226,0.16231733184077993,0.16231733184077993,False
chinese,2,15,2,0,2,0.011803719211856346,0.3244228530419369,0.3244228530419369,False
chinese,2,16,1,0,1,0.2976117711616727,0.30355513346206614,0.30355513346206614,False
chinese,2,17,1,0,1,0.0423106327699818,0.32610194081536004,0.32610194081536004,False
chinese,2,18,2,0,2,0.8700129229089644,0.22787442291535268,0.22787442291535268,False
chinese,2,19,3,1,7,0.3573596625663673,0.1650540258584671,0.1650540258584671,False
chinese,2,20,1,0,2,0.770314273851218,0.22278436572541077,0.22278436572541077,False
