language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
english,1,2,6,1,7,0.7219951398457654,0.3451990206613262,0.3451990206613262,False
english,1,3,6,1,4,0.44963673647057656,0.4011423597255176,0.4011423597255176,False
english,1,4,6,1,7,0.8746592357030167,0.35512300286258547,0.35512300286258547,False
english,1,5,6,1,1,0.38065523788497174,0.3826482665080104,0.3826482665080104,False
english,1,6,6,1,3,0.36808496734979274,0.19331519416215975,0.19331519416215975,False
english,1,7,6,1,2,0.4752541022738971,0.3460662988127118,0.3460662988127118,False
english,1,8,6,1,2,0.5769211225888468,0.377746632616999,0.377746632616999,False
english,1,9,2,1,6,0.1300201342521181,0.40335679753268994,0.40335679753268994,False
english,1,10,6,1,4,0.16020800684856817,0.26866966746299276,0.26866966746299276,False
english,1,11,6,1,4,0.5029990316867283,0.3729829522780231,0.3729829522780231,False
english,1,12,6,1,4,0.5900608603731229,0.3453278106686113,0.3453278106686113,False
english,1,13,5,1,1,0.14648369925602828,0.4846049381951929,0.4846049381951929,False
english,1,14,6,1,6,0.008913008225268455,0.4909146277178148,0.4909146277178148,False
english,1,15,6,1,2,0.37091266565250347,0.20878620468044104,0.20878620468044104,False
english,1,16,6,1,6,0.6644425152560689,0.31820342373408145,0.31820342373408145,False
english,1,17,6,1,4,0.25622528391470917,0.3882808121423241,0.3882808121423241,False
english,1,18,6,1,4,0.17404442014398516,0.45744963006281253,0.45744963006281253,False
english,1,19,6,1,3,0.08686022732697453,0.3103591559337711,0.3103591559337711,False
english,1,20,6,1,2,0.23130636667489018,0.39833896581041744,0.39833896581041744,False
english,1,21,6,1,7,0.5697136153048232,0.18116345920311475,0.18116345920311475,False
english,1,22,6,1,6,0.8526522564165946,0.3249847900808599,0.3249847900808599,False
english,1,23,6,1,6,0.6681265496331277,0.3633357870757205,0.3633357870757205,False
english,1,24,7,1,7,0.03915165227425721,0.376610064071673,0.376610064071673,False
english,1,25,6,1,4,0.5790976414666,-0.2206858780258465,0.2206858780258465,False
english,1,26,7,1,4,0.33771772256400817,-0.24263144112865712,0.24263144112865712,False
english,1,27,6,1,2,0.007415482421000515,0.4830418565192096,0.4830418565192096,False
