language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r,fdr_significant
persian,1,2,1,1,3,0.5557970510492651,0.2633170388196315,0.2633170388196315,False
persian,1,3,4,1,3,0.23650218706190632,0.3007182185047046,0.3007182185047046,False
persian,1,4,4,1,3,0.25186317496771454,0.30310613048644314,0.30310613048644314,False
persian,1,5,3,1,5,0.32075311312355004,-0.29745584283535514,0.29745584283535514,False
persian,1,6,2,1,3,0.76235080777847,0.27441664875725097,0.27441664875725097,False
persian,1,7,4,1,3,0.2525041266902054,0.30271428522143207,0.30271428522143207,False
persian,1,8,4,1,3,0.25835375866896604,0.3040047255689131,0.3040047255689131,False
persian,1,9,2,0,2,0.17204968105747223,0.2768814774475261,0.2768814774475261,False
persian,1,10,4,1,3,0.2615023467972242,0.3172842613706796,0.3172842613706796,False
persian,1,11,4,1,3,0.24817186930706597,0.3020434378857726,0.3020434378857726,False
persian,1,12,4,1,1,0.05582551753830664,0.3292367821251819,0.3292367821251819,False
persian,1,13,1,0,4,0.4756287851074218,-0.1951143905930022,0.1951143905930022,False
persian,1,14,2,0,1,0.26232534809065033,0.22790652960489038,0.22790652960489038,False
persian,1,15,2,0,2,0.017483069029365927,0.3214282520305341,0.3214282520305341,False
persian,1,16,4,1,3,0.2662323545573515,0.30469111159580775,0.30469111159580775,False
persian,1,17,4,1,3,0.24458906482196338,0.3025168410019797,0.3025168410019797,False
persian,1,18,1,0,3,0.9409827515402802,0.3113351823223691,0.3113351823223691,False
persian,1,19,3,0,3,0.5970784173434056,0.31993677893576644,0.31993677893576644,False
persian,1,20,4,1,3,0.2193896723024033,0.3203183856693742,0.3203183856693742,False
persian,1,21,4,0,2,0.18961351533506887,0.3013819038572997,0.3013819038572997,False
persian,1,22,4,0,2,0.6857920706065068,0.27260656253952614,0.27260656253952614,False
persian,1,23,4,1,3,0.22520473371682884,0.29933959109082703,0.29933959109082703,False
persian,1,24,7,0,6,1.1753785882055232e-05,0.3689091900172568,0.3689091900172568,True
persian,1,25,1,0,4,0.15777757935298478,-0.1799516172156295,0.1799516172156295,False
persian,1,26,2,1,4,0.08121207174845374,-0.37477266783711466,0.37477266783711466,False
