,V1_1,V1_2,V1_3,V1_4,V1_5,V1_6,V1_7,V1_8,V1_9,V1_10,V1_11,V1_12,V1_13,V1_14,V1_15,V1_16,V1_17,V1_18,V1_19,V1_20,V1_21,V1_22,V1_23,V1_24,V1_25,V1_26,V1_27,V1_28,V1_29,V1_30,V1_31,V1_32,V1_33,V1_34,V1_35,V1_36,V1_37,V1_38,V1_39,V1_40,V1_41,V1_42,V1_43,V1_44,V1_45,V1_46,V1_47,V1_48,V1_49,V1_50
V1_1,0.08297635593814068,0.08297635593814068,0.021355224572571357,0.0003265837550273735,0.0003265837550273735,0.0004152027042337628,0.0004152027042337628,0.00017442171581257882,0.13255192266180632,0.033148747487880846,0.07995938595423328,0.01801640626225018,0.001006254877638449,0.006661693114347215,0.01769703159278242,0.012296089131652253,0.00032800965601654977,0.00015527842725832522,0.00015527842725832522,0.00021158335005802746,0.00018454378399751205,0.0001332476477198344,0.0001510643092626811,9.75316094054328e-05,0.0003544180021310112,0.0003544180021310112,0.004496696386991963,0.0007903265067886778,0.0008951274764804417,0.0032676739342471016,0.0020943231815394453,0.0007974664783299818,0.0006879986698800746,0.0010755603983885259,0.00047842065456934384,0.00011679317885807323,0.01885620230088784,0.00038766188967374334,0.0002996538280044183,0.00012532452859368676,0.00014247720502111688,0.00018238786484625028,0.0007027639514063483,0.002918627026667469,0.002258517170630524,0.0007064161474353987,0.0007932474871522145,0.001809754622182269,0.0019033020135876997,0.0
V1_2,0.08297635593814068,0.08297635593814068,0.021355224572571357,0.0003265837550273735,0.0003265837550273735,0.0004152027042337628,0.0004152027042337628,0.00017442171581257882,0.13255192266180632,0.033148747487880846,0.07995938595423328,0.01801640626225018,0.001006254877638449,0.006661693114347215,0.01769703159278242,0.012296089131652253,0.00032800965601654977,0.00015527842725832522,0.00015527842725832522,0.00021158335005802746,0.00018454378399751205,0.0001332476477198344,0.0001510643092626811,9.75316094054328e-05,0.0003544180021310112,0.0003544180021310112,0.004496696386991963,0.0007903265067886778,0.0008951274764804417,0.0032676739342471016,0.0020943231815394453,0.0007974664783299818,0.0006879986698800746,0.0010755603983885259,0.00047842065456934384,0.00011679317885807323,0.01885620230088784,0.00038766188967374334,0.0002996538280044183,0.00012532452859368676,0.00014247720502111688,0.00018238786484625028,0.0007027639514063483,0.002918627026667469,0.002258517170630524,0.0007064161474353987,0.0007932474871522145,0.001809754622182269,0.0019033020135876997,0.0
V1_3,0.0006931032334666265,0.0006931032334666265,0.08507334555077539,2.2248134876356416e-05,2.2248134876356416e-05,4.530392881306876e-05,4.530392881306876e-05,3.6863027194310635e-05,0.02111659218804548,0.000286041246209136,0.0006299264431706744,0.00030944609406964086,1.84689192951469e-05,0.0004258683714264547,0.0014744973645577587,0.00011186013326509657,4.20708153804133e-05,1.0468731897037348e-05,1.0468731897037348e-05,1.5220007904429629e-05,4.328519033424936e-05,1.6559420923529798e-05,1.4890511452077628e-05,7.626599673915291e-06,1.909398115900115e-05,1.909398115900115e-05,0.0004280438640409303,2.559000329740081e-05,0.00015011545562999173,3.53501860535004e-05,0.0002228610053344966,2.3821643248334448e-05,0.0003852993389063463,0.00012307213173930878,7.558563377359922e-05,1.7794802407040653e-05,0.01562249858568902,6.547201895939745e-05,5.985771792478959e-05,2.1052562661708517e-05,2.955402558775825e-05,1.0731899234683375e-05,0.00017223100851217866,0.00045818319457776154,0.00018611290197772246,0.00016174829656537962,0.0002098405358696323,0.0004048030463365611,0.0003485920033231665,0.0
V1_4,0.0008375440779300696,0.0008375440779300696,0.0007090680050816353,0.05620167765690044,0.05620167765690044,0.006369365874942678,0.006369365874942678,0.014235910798141169,0.001979542947739086,0.0018618873797026682,0.0010356000502683275,0.0038560646369948147,0.23614806644736713,0.022165493358505366,0.001231108141095492,0.0027942256346399396,0.02078448114234475,0.015102767135490688,0.015102767135490688,0.001359848182418798,0.0001598616254805262,0.00038551257997417276,0.001120384749895557,0.00037305359874122417,0.0007426855534137692,0.0007426855534137692,0.000587206249170009,0.07182626571160348,0.0028357320654087666,0.0008545573600490629,0.0007859262443135288,0.0023434661500158324,0.0024010936334081887,0.002230757576321286,0.002070580007354117,0.0016660661498962912,0.000988927248672274,0.00017913084866501215,0.0007203920079387843,0.0003282346556225994,0.0002094323801922964,0.0002255041493234791,0.0003077868126860403,0.00034601176723225924,0.0025787635828222765,0.0008987759645498906,0.00047950266487080276,0.000543312849073184,0.0006144919268881946,0.0
V1_5,0.0008375440779300696,0.0008375440779300696,0.0007090680050816353,0.05620167765690044,0.05620167765690044,0.006369365874942678,0.006369365874942678,0.014235910798141169,0.001979542947739086,0.0018618873797026682,0.0010356000502683275,0.0038560646369948147,0.23614806644736713,0.022165493358505366,0.001231108141095492,0.0027942256346399396,0.02078448114234475,0.015102767135490688,0.015102767135490688,0.001359848182418798,0.0001598616254805262,0.00038551257997417276,0.001120384749895557,0.00037305359874122417,0.0007426855534137692,0.0007426855534137692,0.000587206249170009,0.07182626571160348,0.0028357320654087666,0.0008545573600490629,0.0007859262443135288,0.0023434661500158324,0.0024010936334081887,0.002230757576321286,0.002070580007354117,0.0016660661498962912,0.000988927248672274,0.00017913084866501215,0.0007203920079387843,0.0003282346556225994,0.0002094323801922964,0.0002255041493234791,0.0003077868126860403,0.00034601176723225924,0.0025787635828222765,0.0008987759645498906,0.00047950266487080276,0.000543312849073184,0.0006144919268881946,0.0
V1_6,0.0004267263103025765,0.0004267263103025765,0.0007432904910390489,0.0018075310918134336,0.0018075310918134336,0.03919311581511779,0.03919311581511779,0.006469916235200749,0.00032672677268149133,0.00011628775806058565,0.00016346937197548082,0.0011614321466260446,0.0037497263552206785,0.00678706538856845,0.0007773245088646295,0.0007659315977072557,0.03585735956574289,0.055832342929471396,0.055832342929471396,0.004286469837158999,0.000484832993593837,0.00149048048444354,0.0008365593849470542,0.0003123859422604708,0.00031027952167383797,0.00031027952167383797,0.0022903637509214527,0.0007504576989930867,0.0008621767473070151,0.0064631759902915335,0.00014167748933228172,0.00019055800373229522,0.00012367243941134525,0.00017215281338328202,0.0004049399120203809,0.00036574820936950664,0.0001407482392737703,7.676872649073134e-05,8.999895744948501e-05,0.00012257977575903158,3.486744964811388e-05,0.00011961581880643859,0.00046980438893106015,0.0001746165556279642,0.00028326688958369795,0.00011774648567637494,7.60575445372035e-05,0.00041058730854532917,0.0004078178342106256,0.0
V1_7,0.0004267263103025765,0.0004267263103025765,0.0007432904910390489,0.0018075310918134336,0.0018075310918134336,0.03919311581511779,0.03919311581511779,0.006469916235200749,0.00032672677268149133,0.00011628775806058565,0.00016346937197548082,0.0011614321466260446,0.0037497263552206785,0.00678706538856845,0.0007773245088646295,0.0007659315977072557,0.03585735956574289,0.055832342929471396,0.055832342929471396,0.004286469837158999,0.000484832993593837,0.00149048048444354,0.0008365593849470542,0.0003123859422604708,0.00031027952167383797,0.00031027952167383797,0.0022903637509214527,0.0007504576989930867,0.0008621767473070151,0.0064631759902915335,0.00014167748933228172,0.00019055800373229522,0.00012367243941134525,0.00017215281338328202,0.0004049399120203809,0.00036574820936950664,0.0001407482392737703,7.676872649073134e-05,8.999895744948501e-05,0.00012257977575903158,3.486744964811388e-05,0.00011961581880643859,0.00046980438893106015,0.0001746165556279642,0.00028326688958369795,0.00011774648567637494,7.60575445372035e-05,0.00041058730854532917,0.0004078178342106256,0.0
V1_8,0.00022204174256629922,0.00022204174256629922,0.0004268147707335208,0.0375779125710063,0.0375779125710063,0.01946494990930951,0.01946494990930951,0.08635042633172514,0.00013029736943357385,2.6064014575532174e-05,8.344229656542892e-05,0.00032329525865185257,0.005181009078211794,0.00017570563224543996,3.0499115371285097e-05,9.256218072194267e-05,0.0015248921364010406,0.0007969489576618567,0.0007969489576618567,6.0533843805484176e-05,1.4681695065650886e-05,2.758950024788067e-05,4.4987080733095876e-05,4.072157233093451e-05,9.438291827034508e-05,9.438291827034508e-05,0.0002979301463162882,0.00046481624233917526,0.00022523787313271761,0.0020017398966950136,3.701152980835034e-05,0.0002922449513086903,5.89827541807493e-05,0.00026357489269708594,0.00011250149884585579,0.00013407297934401902,2.6005110915665506e-05,3.038340069739727e-05,3.089850072965209e-05,2.509025397434882e-05,4.8888070931926704e-05,9.748692891903441e-05,0.0001643136837610323,4.327227693844211e-05,9.57536193886506e-05,3.77579237543507e-05,1.8160379180780594e-05,3.6472042027476225e-05,3.547927823097901e-05,0.0
V1_9,0.06142772455003583,0.06142772455003583,0.08642751816583406,0.0008756228711091802,0.0008756228711091802,0.004386365307096317,0.004386365307096317,0.0007767944384663684,0.13869902158082123,0.010399406630272943,0.0038516777121421725,0.0048960337477602775,0.0023073132979137536,0.016181218270130582,0.011038153154266657,0.0036468108026331218,0.0024668794027011094,0.004897632138393776,0.004897632138393776,0.0032886651385615937,0.004890478012639101,0.004794040844994721,0.004699510226755707,0.0016672013624088738,0.003106003342551381,0.003106003342551381,0.0030451823708451654,0.0034715262919418313,0.006451206517843801,0.0016556977418186833,0.005402075571209187,0.0026144568316545033,0.0072421800578201,0.010729878065816701,0.003758249759690951,0.0038498777928204983,0.13538649115022366,0.0029473708786946218,0.00265622951428734,0.0016712603740623754,0.000848260267251988,0.0008225782556367393,0.0032856094234053816,0.005636081026110081,0.007901461604375284,0.010506277888744652,0.0096547917046467,0.017875497565063337,0.007649260259907981,0.0
V1_10,0.0011019797747197659,0.0011019797747197659,0.0043618375560812925,0.0022780973015647152,0.0022780973015647152,0.0030266342546502083,0.0030266342546502083,0.0027485310285920274,0.0022579623868819155,0.3670534050565675,0.0044662438293306935,0.012628954726900054,0.0005813908518784596,0.004393016520972377,0.006875730500077581,0.011758638361467635,0.005352996849722765,0.0013244836654041996,0.0013244836654041996,0.0031297625985078448,0.002680760661678811,0.004026421658237191,0.0032569377301516333,0.006737513787547499,0.00460938314982887,0.00460938314982887,0.026317595271822185,0.0009269510106718511,0.007155240297392955,0.0018740076767045167,0.0027463419155289936,0.002443264100377262,0.0025311292271339727,0.002698954346661797,0.0023075330099144526,0.006213253004129112,0.004032439381681518,0.0035599716758606265,0.001781963364574344,0.00040110170698912605,0.0007860773299684484,0.0004242490777820313,0.0017650660094128583,0.00707700154139909,0.005524126558629341,0.0014282678658457334,0.002910259017255817,0.006415238008693561,0.006289672545445765,0.0
